# Blending factor
# Time        	Scheme1       	Scheme2       	Blended       
0.0005        	321088	0	0
0.001         	321088	0	0
0.0015        	321088	0	0
0.002         	321088	0	0
0.0025        	321088	0	0
0.003         	321088	0	0
0.0035        	321088	0	0
0.004         	321088	0	0
0.0045        	321088	0	0
0.005         	321088	0	0
0.0055        	321088	0	0
0.006         	321088	0	0
0.0065        	321088	0	0
0.007         	321088	0	0
0.0075        	321088	0	0
0.008         	321088	0	0
0.0085        	321088	0	0
0.009         	321088	0	0
0.0095        	321088	0	0
0.01          	321088	0	0
0.0105        	321088	0	0
0.011         	321088	0	0
0.0115        	321088	0	0
0.012         	321088	0	0
0.0125        	321088	0	0
0.013         	321088	0	0
0.0135        	321088	0	0
0.014         	321088	0	0
0.0145        	321088	0	0
0.015         	321088	0	0
0.0155        	321088	0	0
0.016         	321088	0	0
0.0165        	321088	0	0
0.017         	321088	0	0
0.0175        	321088	0	0
0.018         	321088	0	0
0.0185        	321088	0	0
0.019         	321088	0	0
0.0195        	321088	0	0
0.02          	321088	0	0
0.0205        	321088	0	0
0.021         	321088	0	0
0.0215        	321088	0	0
0.022         	321088	0	0
0.0225        	321088	0	0
0.023         	321088	0	0
0.0235        	321088	0	0
0.024         	321088	0	0
0.0245        	321088	0	0
0.025         	321088	0	0
0.0255        	321088	0	0
0.026         	321088	0	0
0.0265        	321088	0	0
0.027         	321088	0	0
0.0275        	321088	0	0
0.028         	321088	0	0
0.0285        	321088	0	0
0.029         	321088	0	0
0.0295        	321088	0	0
0.03          	321088	0	0
0.0305        	321088	0	0
0.031         	321088	0	0
0.0315        	321088	0	0
0.032         	321088	0	0
0.0325        	321088	0	0
0.033         	321088	0	0
0.0335        	321088	0	0
0.034         	321088	0	0
0.0345        	321088	0	0
0.035         	321088	0	0
0.0355        	321088	0	0
0.036         	321088	0	0
0.0365        	321088	0	0
0.037         	321088	0	0
0.0375        	321088	0	0
0.038         	321088	0	0
0.0385        	321088	0	0
0.039         	321088	0	0
0.0395        	321088	0	0
0.04          	321088	0	0
0.0405        	321088	0	0
0.041         	321088	0	0
0.0415        	321088	0	0
0.042         	321088	0	0
0.0425        	321088	0	0
0.043         	321088	0	0
0.0435        	321088	0	0
0.044         	321088	0	0
0.0445        	321088	0	0
0.045         	321088	0	0
0.0455        	321088	0	0
0.046         	321088	0	0
0.0465        	321088	0	0
0.047         	321088	0	0
0.0475        	321088	0	0
0.048         	321088	0	0
0.0485        	321088	0	0
0.049         	321088	0	0
0.0495        	321088	0	0
0.05          	321088	0	0
0.0505        	321088	0	0
0.051         	321088	0	0
0.0515        	321088	0	0
0.052         	321088	0	0
0.0525        	321088	0	0
0.053         	321088	0	0
0.0535        	321088	0	0
0.054         	321088	0	0
0.0545        	321088	0	0
0.055         	321088	0	0
0.0555        	321088	0	0
0.056         	321088	0	0
0.0565        	321088	0	0
0.057         	321088	0	0
0.0575        	321088	0	0
0.058         	321088	0	0
0.0585        	321088	0	0
0.059         	321088	0	0
0.0595        	321088	0	0
0.06          	321088	0	0
0.0605        	321088	0	0
0.061         	321088	0	0
0.0615        	321088	0	0
0.062         	321088	0	0
0.0625        	321088	0	0
0.063         	321088	0	0
0.0635        	321088	0	0
0.064         	321088	0	0
0.0645        	321088	0	0
0.065         	321088	0	0
0.0655        	321088	0	0
0.066         	321088	0	0
0.0665        	321088	0	0
0.067         	321088	0	0
0.0675        	321088	0	0
0.068         	321088	0	0
0.0685        	321088	0	0
0.069         	321088	0	0
0.0695        	321088	0	0
0.07          	321088	0	0
0.0705        	321088	0	0
0.071         	321088	0	0
0.0715        	321088	0	0
0.072         	321088	0	0
0.0725        	321088	0	0
0.073         	321088	0	0
0.0735        	321088	0	0
0.074         	321088	0	0
0.0745        	321088	0	0
0.075         	321088	0	0
0.0755        	321088	0	0
0.076         	321088	0	0
0.0765        	321088	0	0
0.077         	321088	0	0
0.0775        	321088	0	0
0.078         	321088	0	0
0.0785        	321088	0	0
0.079         	321088	0	0
0.0795        	321088	0	0
0.08          	321088	0	0
0.0805        	321088	0	0
0.081         	321088	0	0
0.0815        	321088	0	0
0.082         	321088	0	0
0.0825        	321088	0	0
0.083         	321088	0	0
0.0835        	321088	0	0
0.084         	321088	0	0
0.0845        	321088	0	0
0.085         	321088	0	0
0.0855        	321088	0	0
0.086         	321088	0	0
0.0865        	321088	0	0
0.087         	321088	0	0
0.0875        	321088	0	0
0.088         	321088	0	0
0.0885        	321088	0	0
0.089         	321088	0	0
0.0895        	321088	0	0
0.09          	321088	0	0
0.0905        	321088	0	0
0.091         	321088	0	0
0.0915        	321088	0	0
0.092         	321088	0	0
0.0925        	321088	0	0
0.093         	321088	0	0
0.0935        	321088	0	0
0.094         	321088	0	0
0.0945        	321088	0	0
0.095         	321088	0	0
0.0955        	321088	0	0
0.096         	321088	0	0
0.0965        	321088	0	0
0.097         	321088	0	0
0.0975        	321088	0	0
0.098         	321088	0	0
0.0985        	321088	0	0
0.099         	321088	0	0
0.0995        	321088	0	0
0.1           	321088	0	0
