# Histogram   
# Time        	binMidPoints  	dataCounts    	dataValues    
1.000000e-03	9.900000e+00	0	0.000000e+00
1.000000e-03	9.700000e+00	0	0.000000e+00
1.000000e-03	9.500000e+00	0	0.000000e+00
1.000000e-03	9.300000e+00	0	0.000000e+00
1.000000e-03	9.100000e+00	0	0.000000e+00
1.000000e-03	8.900000e+00	0	0.000000e+00
1.000000e-03	8.700000e+00	0	0.000000e+00
1.000000e-03	8.500000e+00	0	0.000000e+00
1.000000e-03	8.300000e+00	0	0.000000e+00
1.000000e-03	8.100000e+00	0	0.000000e+00
1.000000e-03	7.900000e+00	0	0.000000e+00
1.000000e-03	7.700000e+00	0	0.000000e+00
1.000000e-03	7.500000e+00	0	0.000000e+00
1.000000e-03	7.300000e+00	0	0.000000e+00
1.000000e-03	7.100000e+00	0	0.000000e+00
1.000000e-03	6.900000e+00	0	0.000000e+00
1.000000e-03	6.700000e+00	0	0.000000e+00
1.000000e-03	6.500000e+00	0	0.000000e+00
1.000000e-03	6.300000e+00	0	0.000000e+00
1.000000e-03	6.100000e+00	0	0.000000e+00
1.000000e-03	5.900000e+00	0	0.000000e+00
1.000000e-03	5.700000e+00	0	0.000000e+00
1.000000e-03	5.500000e+00	0	0.000000e+00
1.000000e-03	5.300000e+00	0	0.000000e+00
1.000000e-03	5.100000e+00	0	0.000000e+00
1.000000e-03	4.900000e+00	0	0.000000e+00
1.000000e-03	4.700000e+00	0	0.000000e+00
1.000000e-03	4.500000e+00	0	0.000000e+00
1.000000e-03	4.300000e+00	0	0.000000e+00
1.000000e-03	4.100000e+00	0	0.000000e+00
1.000000e-03	3.900000e+00	0	0.000000e+00
1.000000e-03	3.700000e+00	0	0.000000e+00
1.000000e-03	3.500000e+00	0	0.000000e+00
1.000000e-03	3.300000e+00	0	0.000000e+00
1.000000e-03	3.100000e+00	0	0.000000e+00
1.000000e-03	2.900000e+00	0	0.000000e+00
1.000000e-03	2.700000e+00	0	0.000000e+00
1.000000e-03	2.500000e+00	0	0.000000e+00
1.000000e-03	2.300000e+00	0	0.000000e+00
1.000000e-03	2.100000e+00	0	0.000000e+00
1.000000e-03	1.900000e+00	0	0.000000e+00
1.000000e-03	1.700000e+00	0	0.000000e+00
1.000000e-03	1.500000e+00	0	0.000000e+00
1.000000e-03	1.300000e+00	0	0.000000e+00
1.000000e-03	1.100000e+00	0	0.000000e+00
1.000000e-03	9.000000e-01	0	0.000000e+00
1.000000e-03	7.000000e-01	0	0.000000e+00
1.000000e-03	5.000000e-01	0	0.000000e+00
1.000000e-03	3.000000e-01	0	0.000000e+00
1.000000e-03	1.000000e-01	159	7.179181e-04
1.000000e-03	1.000000e-01	2598	1.176434e-02
1.000000e-03	3.000000e-01	2218	1.655493e-02
1.000000e-03	5.000000e-01	1771	1.840281e-02
1.000000e-03	7.000000e-01	1550	1.873770e-02
1.000000e-03	9.000000e-01	1661	1.972126e-02
1.000000e-03	1.100000e+00	1754	2.152592e-02
1.000000e-03	1.300000e+00	1650	1.983001e-02
1.000000e-03	1.500000e+00	1725	1.934973e-02
1.000000e-03	1.700000e+00	1860	2.187000e-02
1.000000e-03	1.900000e+00	1689	2.021920e-02
1.000000e-03	2.100000e+00	1669	1.954377e-02
1.000000e-03	2.300000e+00	1668	1.962927e-02
1.000000e-03	2.500000e+00	1748	2.096019e-02
1.000000e-03	2.700000e+00	1560	2.027730e-02
1.000000e-03	2.900000e+00	1598	1.970591e-02
1.000000e-03	3.100000e+00	1540	1.910197e-02
1.000000e-03	3.300000e+00	1638	1.926369e-02
1.000000e-03	3.500000e+00	1746	2.084281e-02
1.000000e-03	3.700000e+00	1863	2.322174e-02
1.000000e-03	3.900000e+00	1863	2.287218e-02
1.000000e-03	4.100000e+00	1734	2.076685e-02
1.000000e-03	4.300000e+00	1455	1.770304e-02
1.000000e-03	4.500000e+00	1479	1.658590e-02
1.000000e-03	4.700000e+00	1629	1.872828e-02
1.000000e-03	4.900000e+00	1739	2.077062e-02
1.000000e-03	5.100000e+00	1737	2.155171e-02
1.000000e-03	5.300000e+00	1636	1.968798e-02
1.000000e-03	5.500000e+00	1727	2.084878e-02
1.000000e-03	5.700000e+00	1755	2.124316e-02
1.000000e-03	5.900000e+00	1727	2.047568e-02
1.000000e-03	6.100000e+00	1740	1.986571e-02
1.000000e-03	6.300000e+00	1700	1.948291e-02
1.000000e-03	6.500000e+00	1729	2.139150e-02
1.000000e-03	6.700000e+00	1761	2.112805e-02
1.000000e-03	6.900000e+00	1830	2.093403e-02
1.000000e-03	7.100000e+00	1820	2.107592e-02
1.000000e-03	7.300000e+00	1842	2.192862e-02
1.000000e-03	7.500000e+00	1819	2.073803e-02
1.000000e-03	7.700000e+00	1754	2.033865e-02
1.000000e-03	7.900000e+00	1635	1.963119e-02
1.000000e-03	8.100000e+00	1632	1.934143e-02
1.000000e-03	8.300000e+00	1781	2.077113e-02
1.000000e-03	8.500000e+00	1711	2.000938e-02
1.000000e-03	8.700000e+00	1673	1.951576e-02
1.000000e-03	8.900000e+00	1813	2.208685e-02
1.000000e-03	9.100000e+00	1773	2.019543e-02
1.000000e-03	9.300000e+00	1798	2.076932e-02
1.000000e-03	9.500000e+00	1693	1.959951e-02
1.000000e-03	9.700000e+00	1730	1.983334e-02
1.000000e-03	9.900000e+00	1697	1.888862e-02
