# Momentum        
#
# Time            	(momentum_x momentum_y momentum_z)	volume            
1e-05             	(4.8776058290e-03 2.6925440807e-07 -9.8526229234e-08)	5.0202519972e-03
2e-05             	(4.8280771712e-03 2.2098335017e-07 3.4223762549e-07)	5.0202519972e-03
3e-05             	(4.8047019395e-03 1.0176868965e-07 7.1874779880e-07)	5.0202519972e-03
4e-05             	(4.7885100840e-03 1.2688281284e-08 8.9413422558e-07)	5.0202519972e-03
5e-05             	(4.7765119778e-03 -4.8974581778e-08 9.9119570213e-07)	5.0202519972e-03
6e-05             	(4.7673138773e-03 -9.2239689939e-08 1.0675634930e-06)	5.0202519972e-03
7e-05             	(4.7601117811e-03 -1.2691075372e-07 1.1303523890e-06)	5.0202519972e-03
8e-05             	(4.7543959478e-03 -1.5716532422e-07 1.1836206282e-06)	5.0202519972e-03
9e-05             	(4.7498216774e-03 -1.8381386841e-07 1.2310493129e-06)	5.0202519972e-03
0.0001            	(4.7461468554e-03 -2.0937003470e-07 1.2733934564e-06)	5.0202519972e-03
0.00011           	(4.7431947445e-03 -2.3462596537e-07 1.3105811925e-06)	5.0202519972e-03
0.00012           	(4.7408320836e-03 -2.6010434934e-07 1.3432791747e-06)	5.0202519972e-03
0.00013           	(4.7389572206e-03 -2.8607348201e-07 1.3721143318e-06)	5.0202519972e-03
0.00014           	(4.7374892041e-03 -3.1234150570e-07 1.3985319018e-06)	5.0202519972e-03
0.00015           	(4.7363663674e-03 -3.3800199078e-07 1.4232992742e-06)	5.0202519972e-03
0.00016           	(4.7355371892e-03 -3.6348048961e-07 1.4469541995e-06)	5.0202519972e-03
0.00017           	(4.7349603767e-03 -3.8859893755e-07 1.4691581403e-06)	5.0202519972e-03
0.00018           	(4.7346014459e-03 -4.1301225128e-07 1.4896370321e-06)	5.0202519972e-03
0.00019           	(4.7344321177e-03 -4.3701392012e-07 1.5082155979e-06)	5.0202519972e-03
0.0002            	(4.7344297077e-03 -4.6012746535e-07 1.5254633042e-06)	5.0202519972e-03
0.00021           	(4.7345743271e-03 -4.8279213290e-07 1.5415127086e-06)	5.0202519972e-03
0.00022           	(4.7348497124e-03 -5.0473716714e-07 1.5566142086e-06)	5.0202519972e-03
0.00023           	(4.7352417844e-03 -5.2607630881e-07 1.5708429337e-06)	5.0202519972e-03
0.00024           	(4.7357387801e-03 -5.4672015835e-07 1.5842190520e-06)	5.0202519972e-03
0.00025           	(4.7363305846e-03 -5.6709490013e-07 1.5967133761e-06)	5.0202519972e-03
0.00026           	(4.7370084012e-03 -5.8693882392e-07 1.6087228748e-06)	5.0202519972e-03
0.00027           	(4.7377643068e-03 -6.0615878507e-07 1.6199236473e-06)	5.0202519972e-03
0.00028           	(4.7385912932e-03 -6.2480732259e-07 1.6303913236e-06)	5.0202519972e-03
0.00029           	(4.7394832497e-03 -6.4310837206e-07 1.6402843885e-06)	5.0202519972e-03
0.0003            	(4.7404347667e-03 -6.6039576174e-07 1.6495132370e-06)	5.0202519972e-03
0.00031           	(4.7414409116e-03 -6.7711824967e-07 1.6578999733e-06)	5.0202519972e-03
0.00032           	(4.7424972519e-03 -6.9308348799e-07 1.6654173756e-06)	5.0202519972e-03
0.00033           	(4.7435996833e-03 -7.0866324773e-07 1.6720596529e-06)	5.0202519972e-03
0.00034           	(4.7447445520e-03 -7.2362010947e-07 1.6781463873e-06)	5.0202519972e-03
0.00035           	(4.7459284860e-03 -7.3814697414e-07 1.6832789678e-06)	5.0202519972e-03
0.00036           	(4.7471482788e-03 -7.5206759114e-07 1.6877896721e-06)	5.0202519972e-03
0.00037           	(4.7484011533e-03 -7.6553870402e-07 1.6916337912e-06)	5.0202519972e-03
0.00038           	(4.7496843946e-03 -7.7841532603e-07 1.6949614752e-06)	5.0202519972e-03
0.00039           	(4.7509956240e-03 -7.9089227200e-07 1.6977110302e-06)	5.0202519972e-03
0.0004            	(4.7523324741e-03 -8.0285260695e-07 1.7000524222e-06)	5.0202519972e-03
0.00041           	(4.7536928421e-03 -8.1445121775e-07 1.7018922719e-06)	5.0202519972e-03
0.00042           	(4.7550745701e-03 -8.2546090310e-07 1.7034400583e-06)	5.0202519972e-03
0.00043           	(4.7564760307e-03 -8.3591978328e-07 1.7046323828e-06)	5.0202519972e-03
0.00044           	(4.7578954204e-03 -8.4594588577e-07 1.7056475040e-06)	5.0202519972e-03
0.00045           	(4.7593312145e-03 -8.5555609158e-07 1.7065820397e-06)	5.0202519972e-03
0.00046           	(4.7607818169e-03 -8.6466846295e-07 1.7075039805e-06)	5.0202519972e-03
0.00047           	(4.7622458483e-03 -8.7349515195e-07 1.7083680577e-06)	5.0202519972e-03
0.00048           	(4.7637218770e-03 -8.8197382686e-07 1.7093996006e-06)	5.0202519972e-03
0.00049           	(4.7652086796e-03 -8.9035882642e-07 1.7103579226e-06)	5.0202519972e-03
0.0005            	(4.7667050960e-03 -8.9848484583e-07 1.7112777057e-06)	5.0202519972e-03
0.00051           	(4.7682099163e-03 -9.0642896928e-07 1.7120199335e-06)	5.0202519972e-03
0.00052           	(4.7697221422e-03 -9.1409049204e-07 1.7125986521e-06)	5.0202519972e-03
0.00053           	(4.7712408935e-03 -9.2147440355e-07 1.7131282841e-06)	5.0202519972e-03
0.00054           	(4.7727652848e-03 -9.2860431244e-07 1.7135486557e-06)	5.0202519972e-03
0.00055           	(4.7742944292e-03 -9.3549969822e-07 1.7139311692e-06)	5.0202519972e-03
0.00056           	(4.7758277100e-03 -9.4205064675e-07 1.7142003809e-06)	5.0202519972e-03
0.00057           	(4.7773642814e-03 -9.4831961196e-07 1.7143560539e-06)	5.0202519972e-03
0.00058           	(4.7789033536e-03 -9.5451391913e-07 1.7144660918e-06)	5.0202519972e-03
0.00059           	(4.7804444836e-03 -9.6067074416e-07 1.7146803711e-06)	5.0202519972e-03
0.0006            	(4.7819869296e-03 -9.6660870822e-07 1.7149632796e-06)	5.0202519972e-03
0.00061           	(4.7835301752e-03 -9.7219139410e-07 1.7152693473e-06)	5.0202519972e-03
0.00062           	(4.7850736918e-03 -9.7758767473e-07 1.7156313428e-06)	5.0202519972e-03
0.00063           	(4.7866172757e-03 -9.8276235721e-07 1.7158945718e-06)	5.0202519972e-03
0.00064           	(4.7881603024e-03 -9.8777695008e-07 1.7160379074e-06)	5.0202519972e-03
0.00065           	(4.7897020757e-03 -9.9270050017e-07 1.7160532597e-06)	5.0202519972e-03
0.00066           	(4.7912425328e-03 -9.9756141986e-07 1.7160036735e-06)	5.0202519972e-03
0.00067           	(4.7927806275e-03 -1.0023045329e-06 1.7158189842e-06)	5.0202519972e-03
0.00068           	(4.7943168568e-03 -1.0068179687e-06 1.7155918331e-06)	5.0202519972e-03
0.00069           	(4.7958504570e-03 -1.0112473505e-06 1.7152255356e-06)	5.0202519972e-03
0.0007            	(4.7973809997e-03 -1.0154501056e-06 1.7148112500e-06)	5.0202519972e-03
0.00071           	(4.7989077964e-03 -1.0195571506e-06 1.7142790904e-06)	5.0202519972e-03
0.00072           	(4.8004318651e-03 -1.0234154211e-06 1.7136701417e-06)	5.0202519972e-03
0.00073           	(4.8019513472e-03 -1.0271590026e-06 1.7129695815e-06)	5.0202519972e-03
0.00074           	(4.8034671913e-03 -1.0307155399e-06 1.7121913344e-06)	5.0202519972e-03
0.00075           	(4.8049787381e-03 -1.0342031860e-06 1.7111817155e-06)	5.0202519972e-03
0.00076           	(4.8064857618e-03 -1.0373852260e-06 1.7101808006e-06)	5.0202519972e-03
0.00077           	(4.8079879824e-03 -1.0404029389e-06 1.7089981182e-06)	5.0202519972e-03
0.00078           	(4.8094852710e-03 -1.0431180876e-06 1.7079149493e-06)	5.0202519972e-03
0.00079           	(4.8109775834e-03 -1.0456531318e-06 1.7067693273e-06)	5.0202519972e-03
0.0008            	(4.8124643957e-03 -1.0478634075e-06 1.7055181197e-06)	5.0202519972e-03
0.00081           	(4.8139456681e-03 -1.0499648015e-06 1.7041529789e-06)	5.0202519972e-03
0.00082           	(4.8154213797e-03 -1.0518198550e-06 1.7027752801e-06)	5.0202519972e-03
0.00083           	(4.8168913385e-03 -1.0535671158e-06 1.7013539462e-06)	5.0202519972e-03
0.00084           	(4.8183554429e-03 -1.0551529357e-06 1.6999846258e-06)	5.0202519972e-03
0.00085           	(4.8198136176e-03 -1.0567219302e-06 1.6985015530e-06)	5.0202519972e-03
0.00086           	(4.8212656895e-03 -1.0581934859e-06 1.6969237459e-06)	5.0202519972e-03
0.00087           	(4.8227115748e-03 -1.0595681574e-06 1.6952241039e-06)	5.0202519972e-03
0.00088           	(4.8241511432e-03 -1.0608277284e-06 1.6934643981e-06)	5.0202519972e-03
0.00089           	(4.8255843501e-03 -1.0619762517e-06 1.6916294395e-06)	5.0202519972e-03
0.0009            	(4.8270111139e-03 -1.0630486126e-06 1.6897570529e-06)	5.0202519972e-03
0.00091           	(4.8284313807e-03 -1.0640887812e-06 1.6878623875e-06)	5.0202519972e-03
0.00092           	(4.8298451877e-03 -1.0650158336e-06 1.6858696289e-06)	5.0202519972e-03
0.00093           	(4.8312523492e-03 -1.0658815109e-06 1.6838635788e-06)	5.0202519972e-03
0.00094           	(4.8326527632e-03 -1.0667118128e-06 1.6818436279e-06)	5.0202519972e-03
0.00095           	(4.8340464043e-03 -1.0674784061e-06 1.6797428971e-06)	5.0202519972e-03
0.00096           	(4.8354332347e-03 -1.0682409579e-06 1.6775392610e-06)	5.0202519972e-03
0.00097           	(4.8368131471e-03 -1.0689253675e-06 1.6752445995e-06)	5.0202519972e-03
0.00098           	(4.8381861710e-03 -1.0696377282e-06 1.6729316413e-06)	5.0202519972e-03
0.00099           	(4.8395522943e-03 -1.0702985592e-06 1.6705052690e-06)	5.0202519972e-03
