# Momentum        
#
# Time            	(momentum_x momentum_y momentum_z)	volume            
1e-05             	(5.0202519972e-03 -1.7674673922e-10 -9.8317999864e-11)	5.0202519972e-03
2e-05             	(5.0202519972e-03 -6.4402516528e-09 -2.0207588876e-09)	5.0202519972e-03
3e-05             	(5.0202519972e-03 1.3946362735e-08 2.1766337493e-08)	5.0202519972e-03
4e-05             	(5.0202519972e-03 2.1352929448e-08 5.3481085730e-08)	5.0202519972e-03
5e-05             	(5.0202519972e-03 1.8344766763e-08 6.5732551973e-08)	5.0202519972e-03
6e-05             	(5.0202519972e-03 1.4755504501e-08 7.6860993561e-08)	5.0202519972e-03
7e-05             	(5.0202519972e-03 1.3137422139e-08 8.3323554324e-08)	5.0202519972e-03
8e-05             	(5.0202519972e-03 1.2081099747e-08 8.0531940697e-08)	5.0202519972e-03
9e-05             	(5.0202519972e-03 1.0733326194e-08 7.4958645072e-08)	5.0202519972e-03
0.0001            	(5.0202519972e-03 1.0332883772e-08 6.7145064265e-08)	5.0202519972e-03
0.00011           	(5.0202519972e-03 1.0217508973e-08 5.9959569733e-08)	5.0202519972e-03
0.00012           	(5.0202519972e-03 1.0147722353e-08 5.3091249043e-08)	5.0202519972e-03
0.00013           	(5.0202519972e-03 1.0101138413e-08 4.6748396879e-08)	5.0202519972e-03
0.00014           	(5.0202519972e-03 1.0016105889e-08 4.1139821410e-08)	5.0202519972e-03
0.00015           	(5.0202519972e-03 9.9182001233e-09 3.6114011993e-08)	5.0202519972e-03
0.00016           	(5.0202519972e-03 9.7822923766e-09 3.1526319727e-08)	5.0202519972e-03
0.00017           	(5.0202519972e-03 9.5871923139e-09 2.7363102322e-08)	5.0202519972e-03
0.00018           	(5.0202519972e-03 9.3603341245e-09 2.3631059096e-08)	5.0202519972e-03
0.00019           	(5.0202519972e-03 9.1540316731e-09 2.0236263607e-08)	5.0202519972e-03
0.0002            	(5.0202519972e-03 8.9637589263e-09 1.7162814557e-08)	5.0202519972e-03
0.00021           	(5.0202519972e-03 8.8154845720e-09 1.4328628902e-08)	5.0202519972e-03
