# Group0          
#   - multiFieldValue_add:movingWallEpsilon:areaAverage(Inlet,epsilon)
#   - multiFieldValue_add:fixedWallsEpsilon:areaAverage(Outlet,epsilon)
#   - multiFieldValue_add:averageEpsilon:average(epsilon)Mean
# Operation       : add
# Time            	Group0            
0.002             	1.3141940371e-01
0.004             	1.2152476445e-01
0.006             	1.1126674157e-01
0.008             	1.0033298744e-01
0.01              	9.0981402628e-02
0.012             	8.2881042233e-02
0.014             	7.5807881297e-02
0.016             	6.9594513715e-02
0.018             	6.4106001309e-02
0.02              	5.9233608391e-02
0.022             	5.4889485337e-02
0.024             	5.1000044493e-02
0.026             	4.7503713022e-02
0.028             	4.4348085657e-02
0.03              	4.1490002032e-02
0.032             	3.8894545693e-02
0.034             	3.6530800840e-02
0.036             	3.4372292403e-02
0.038             	3.2396456970e-02
0.04              	3.0583558502e-02
0.042             	2.8916312094e-02
0.044             	2.7379691639e-02
0.046             	2.5960488595e-02
0.048             	2.4647276925e-02
0.05              	2.3430260663e-02
0.052             	2.2299742925e-02
0.054             	2.1247766910e-02
0.056             	2.0267296192e-02
0.058             	1.9352076207e-02
0.06              	1.8496529971e-02
0.062             	1.7695628508e-02
0.064             	1.6944859132e-02
0.066             	1.6240165070e-02
0.068             	1.5577886207e-02
0.07              	1.4954705219e-02
0.072             	1.4367621842e-02
0.074             	1.3813926475e-02
0.076             	1.3291157716e-02
0.078             	1.2797077240e-02
0.08              	1.2329645836e-02
0.082             	1.1886998370e-02
0.084             	1.1467410799e-02
0.086             	1.1069318938e-02
0.088             	1.0691292886e-02
0.09              	1.0332011364e-02
0.092             	9.9902694799e-03
0.094             	9.6649526473e-03
0.096             	9.3550317048e-03
0.098             	9.0595562811e-03
0.1               	8.7776494561e-03
