# Group0          
#   - multiFieldValue_average:movingWallEpsilon:areaAverage(Inlet,epsilon)
#   - multiFieldValue_average:fixedWallsEpsilon:areaAverage(Outlet,epsilon)
#   - multiFieldValue_average:averageEpsilon:average(epsilon)Mean
# Operation       : average
# Time            	Group0            
0.002             	4.3806467903e-02
0.004             	4.0508254816e-02
0.006             	3.7088913856e-02
0.008             	3.3444329147e-02
0.01              	3.0327134209e-02
0.012             	2.7627014078e-02
0.014             	2.5269293766e-02
0.016             	2.3198171238e-02
0.018             	2.1368667103e-02
0.02              	1.9744536130e-02
0.022             	1.8296495112e-02
0.024             	1.7000014831e-02
0.026             	1.5834571007e-02
0.028             	1.4782695219e-02
0.03              	1.3830000677e-02
0.032             	1.2964848564e-02
0.034             	1.2176933613e-02
0.036             	1.1457430801e-02
0.038             	1.0798818990e-02
0.04              	1.0194519501e-02
0.042             	9.6387706978e-03
0.044             	9.1265638797e-03
0.046             	8.6534961984e-03
0.048             	8.2157589748e-03
0.05              	7.8100868878e-03
0.052             	7.4332476416e-03
0.054             	7.0825889700e-03
0.056             	6.7557653972e-03
0.058             	6.4506920692e-03
0.06              	6.1655099902e-03
0.062             	5.8985428358e-03
0.064             	5.6482863775e-03
0.066             	5.4133883568e-03
0.068             	5.1926287356e-03
0.07              	4.9849017397e-03
0.072             	4.7892072806e-03
0.074             	4.6046421582e-03
0.076             	4.4303859054e-03
0.078             	4.2656924133e-03
0.08              	4.1098819454e-03
0.082             	3.9623327902e-03
0.084             	3.8224702662e-03
0.086             	3.6897729793e-03
0.088             	3.5637642953e-03
0.09              	3.4440037880e-03
0.092             	3.3300898266e-03
0.094             	3.2216508824e-03
0.096             	3.1183439016e-03
0.098             	3.0198520937e-03
0.1               	2.9258831520e-03
