# Group0          
#   - multiFieldValue_divide:movingWallEpsilon:areaAverage(Inlet,epsilon)
#   - multiFieldValue_divide:fixedWallsEpsilon:areaAverage(Outlet,epsilon)
#   - multiFieldValue_divide:averageEpsilon:average(epsilon)Mean
# Operation       : divide
# Time            	Group0            
0.002             	1.0000114722e+15
0.004             	1.0000271408e+15
0.006             	1.0000020783e+15
0.008             	9.9999948855e+14
0.01              	9.9999975434e+14
0.012             	1.0000000718e+15
0.014             	1.0000003539e+15
0.016             	1.0000005116e+15
0.018             	1.0000004975e+15
0.02              	1.0000004481e+15
0.022             	1.0000004091e+15
0.024             	1.0000004282e+15
0.026             	1.0000004333e+15
0.028             	1.0000004144e+15
0.03              	1.0000003820e+15
0.032             	1.0000003473e+15
0.034             	1.0000003021e+15
0.036             	1.0000002843e+15
0.038             	1.0000002871e+15
0.04              	1.0000002689e+15
0.042             	1.0000002405e+15
0.044             	1.0000002248e+15
0.046             	1.0000002346e+15
0.048             	1.0000002488e+15
0.05              	1.0000002582e+15
0.052             	1.0000002810e+15
0.054             	1.0000003171e+15
0.056             	1.0000003486e+15
0.058             	1.0000003861e+15
0.06              	1.0000004005e+15
0.062             	1.0000004128e+15
0.064             	1.0000004234e+15
0.066             	1.0000004422e+15
0.068             	1.0000004454e+15
0.07              	1.0000004522e+15
0.072             	1.0000004647e+15
0.074             	1.0000004763e+15
0.076             	1.0000004761e+15
0.078             	1.0000004895e+15
0.08              	1.0000004965e+15
0.082             	1.0000004838e+15
0.084             	1.0000004679e+15
0.086             	1.0000004632e+15
0.088             	1.0000004592e+15
0.09              	1.0000004545e+15
0.092             	1.0000004383e+15
0.094             	1.0000004138e+15
0.096             	1.0000003924e+15
0.098             	1.0000003794e+15
0.1               	1.0000003631e+15
