# Group0          
#   - multiFieldValue_max:movingWallEpsilon:areaAverage(Inlet,epsilon)
#   - multiFieldValue_max:fixedWallsEpsilon:areaAverage(Outlet,epsilon)
#   - multiFieldValue_max:averageEpsilon:average(epsilon)Mean
# Operation       : max
# Time            	Group0            
0.002             	6.5710078770e-02
0.004             	6.0763206781e-02
0.006             	5.5633428596e-02
0.008             	5.0166506549e-02
0.01              	4.5490706902e-02
0.012             	4.1440522603e-02
0.014             	3.7903947356e-02
0.016             	3.4797265758e-02
0.018             	3.2053008628e-02
0.02              	2.9616810831e-02
0.022             	2.7444748282e-02
0.024             	2.5500027707e-02
0.026             	2.3751861657e-02
0.028             	2.2174047423e-02
0.03              	2.0745004979e-02
0.032             	1.9447276223e-02
0.034             	1.8265403179e-02
0.036             	1.7186148644e-02
0.038             	1.6198230810e-02
0.04              	1.5291781307e-02
0.042             	1.4458157785e-02
0.044             	1.3689847358e-02
0.046             	1.2980245820e-02
0.048             	1.2323639996e-02
0.05              	1.1715131844e-02
0.052             	1.1149873029e-02
0.054             	1.0623885139e-02
0.056             	1.0133649862e-02
0.058             	9.6760399716e-03
0.06              	9.2482668375e-03
0.062             	8.8478160798e-03
0.064             	8.4724313599e-03
0.066             	8.1200843304e-03
0.068             	7.7889448381e-03
0.07              	7.4773543003e-03
0.072             	7.1838125902e-03
0.074             	6.9069648823e-03
0.076             	6.6455804400e-03
0.078             	6.3985401861e-03
0.08              	6.1648244487e-03
0.082             	5.9435006230e-03
0.084             	5.7337067407e-03
0.086             	5.5346607507e-03
0.088             	5.3456476704e-03
0.09              	5.1660068560e-03
0.092             	4.9951358347e-03
0.094             	4.8324773235e-03
0.096             	4.6775167701e-03
0.098             	4.5297789999e-03
0.1               	4.3888255249e-03
