# Group0          
#   - multiFieldValue_subtract:movingWallEpsilon:areaAverage(Inlet,epsilon)
#   - multiFieldValue_subtract:fixedWallsEpsilon:areaAverage(Outlet,epsilon)
#   - multiFieldValue_subtract:averageEpsilon:average(epsilon)Mean
# Operation       : subtract
# Time            	Group0            
0.002             	7.5382918363e-07
0.004             	1.6491144389e-06
0.006             	1.1562307965e-07
0.008             	-2.5657900277e-08
0.01              	-1.1175209272e-08
0.012             	2.9738509641e-09
0.014             	1.3415248246e-08
0.016             	1.7801529105e-08
0.018             	1.5946414189e-08
0.02              	1.3270606371e-08
0.022             	1.1227790329e-08
0.024             	1.0919981617e-08
0.026             	1.0292831518e-08
0.028             	9.1886536921e-09
0.03              	7.9253876170e-09
0.032             	6.7540650260e-09
0.034             	5.5176558149e-09
0.036             	4.8857521674e-09
0.038             	4.6503596009e-09
0.04              	4.1114851870e-09
0.042             	3.4769669262e-09
0.044             	3.0777069643e-09
0.046             	3.0451777922e-09
0.048             	3.0666208496e-09
0.05              	3.0246191315e-09
0.052             	3.1326399686e-09
0.054             	3.3689884563e-09
0.056             	3.5321532210e-09
0.058             	3.7357978464e-09
0.06              	3.7043204303e-09
0.062             	3.6519890462e-09
0.064             	3.5873779520e-09
0.066             	3.5903411685e-09
0.068             	3.4692373011e-09
0.07              	3.3816092964e-09
0.072             	3.3384120694e-09
0.074             	3.2900120068e-09
0.076             	3.1637229451e-09
0.078             	3.1323628491e-09
0.08              	3.0611264235e-09
0.082             	2.8754356500e-09
0.084             	2.6828607131e-09
0.086             	2.5633781079e-09
0.088             	2.4549052869e-09
0.09              	2.3479028652e-09
0.092             	2.1894488202e-09
0.094             	1.9997572842e-09
0.096             	1.8354761253e-09
0.098             	1.7187179735e-09
0.1               	1.5937080032e-09
