# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
1e-05                   	smoothSolver	1.0000000000000000e+00	3.7420499999999999e-09	2	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	false	smoothSolver	1.1355600000000000e-02	6.9871000000000004e-08	2	true	smoothSolver	1.0000000000000000e+00	6.0320699999999998e-06	2	true	GAMG	1.0000000000000000e+00	6.5212599999999996e-02	10	true
2e-05                   	smoothSolver	8.8547100000000001e-01	7.5741900000000004e-06	2	3.3020899999999997e-01	2.6286499999999998e-06	2	3.3021600000000001e-01	2.6430299999999999e-06	2	false	smoothSolver	1.0183599999999999e-02	7.9708199999999999e-08	2	true	smoothSolver	3.0342700000000000e-01	2.3481399999999998e-06	2	true	GAMG	2.2872000000000000e-02	2.2440200000000002e-03	3	true
3e-05                   	smoothSolver	6.2776200000000004e-02	6.0407900000000002e-07	2	4.9964599999999998e-02	4.1422299999999999e-07	2	4.9935599999999997e-02	4.1484999999999999e-07	2	false	smoothSolver	9.6420900000000007e-03	7.5310299999999994e-08	2	true	smoothSolver	1.7733599999999999e-01	1.3702400000000001e-06	2	true	GAMG	2.9757400000000001e-01	2.1597100000000001e-02	1	true
4e-05                   	smoothSolver	2.9461999999999999e-02	2.8120200000000001e-07	2	2.0362000000000002e-02	1.6910200000000000e-07	2	2.0266099999999999e-02	1.6855899999999999e-07	2	false	smoothSolver	9.2298599999999995e-03	7.2182099999999996e-08	2	true	smoothSolver	1.2442900000000000e-01	9.6166599999999995e-07	2	true	GAMG	1.4588999999999999e-01	9.3262299999999996e-03	1	true
5e-05                   	smoothSolver	2.0987100000000002e-02	1.9859000000000001e-07	2	1.4056900000000001e-02	1.1786000000000000e-07	2	1.3965200000000001e-02	1.1722400000000000e-07	2	false	smoothSolver	8.8802599999999992e-03	6.9379000000000002e-08	2	true	smoothSolver	9.5429200000000006e-02	7.3653499999999997e-07	2	true	GAMG	9.7371600000000003e-02	5.9858899999999998e-03	1	true
6e-05                   	smoothSolver	1.6633100000000001e-02	1.5661300000000000e-07	2	1.1221000000000000e-02	9.4716199999999997e-08	2	1.1152199999999999e-02	9.4604099999999997e-08	2	false	smoothSolver	8.5704100000000005e-03	6.6757200000000004e-08	2	true	smoothSolver	7.7163099999999998e-02	5.9359099999999998e-07	2	true	GAMG	7.3362399999999994e-02	4.1917300000000003e-03	1	true
7e-05                   	smoothSolver	1.3964200000000000e-02	1.3131100000000000e-07	2	9.6357400000000003e-03	8.1930700000000005e-08	2	9.5752600000000004e-03	8.1831300000000003e-08	2	false	smoothSolver	8.2875199999999996e-03	6.4358000000000000e-08	2	true	smoothSolver	6.4619399999999994e-02	4.9550700000000004e-07	2	true	GAMG	5.9367700000000002e-02	3.2383600000000000e-03	1	true
8e-05                   	smoothSolver	1.2158000000000000e-02	1.1437899999999999e-07	2	8.6247300000000006e-03	7.3710399999999998e-08	2	8.5649799999999998e-03	7.3636499999999999e-08	2	false	smoothSolver	8.0242000000000004e-03	6.2147499999999995e-08	2	true	smoothSolver	5.5479100000000003e-02	4.2399399999999998e-07	2	true	GAMG	5.0330000000000000e-02	2.6553599999999998e-03	1	true
9e-05                   	smoothSolver	1.0856200000000000e-02	1.0221900000000000e-07	2	7.9190000000000007e-03	6.7966599999999994e-08	2	7.8599299999999993e-03	6.7886000000000003e-08	2	false	smoothSolver	7.7771100000000003e-03	6.0004399999999994e-08	2	true	smoothSolver	4.8529500000000003e-02	3.6941799999999998e-07	2	true	GAMG	4.4195499999999999e-02	2.2903099999999998e-03	1	true
0.0001                  	smoothSolver	9.8757700000000007e-03	9.3066499999999995e-08	2	7.3921999999999998e-03	6.3680600000000004e-08	2	7.3362699999999998e-03	6.3591399999999999e-08	2	false	smoothSolver	7.5440300000000002e-03	5.8076999999999998e-08	2	true	smoothSolver	4.3070700000000003e-02	3.2702599999999998e-07	2	true	GAMG	3.9675500000000002e-02	2.0263099999999999e-03	1	true
0.00011                 	smoothSolver	9.1143600000000002e-03	8.6003700000000004e-08	2	6.9832499999999999e-03	6.0342699999999997e-08	2	6.9328300000000001e-03	6.0295699999999996e-08	2	false	smoothSolver	7.3225499999999997e-03	5.6250399999999999e-08	2	true	smoothSolver	3.8670299999999998e-02	2.9274499999999999e-07	2	true	GAMG	3.6239700000000000e-02	1.8302699999999999e-03	1	true
0.00012                 	smoothSolver	8.5083099999999998e-03	8.0376299999999994e-08	2	6.6570900000000001e-03	5.7682300000000003e-08	2	6.6111499999999997e-03	5.7659400000000002e-08	2	false	smoothSolver	7.1113100000000000e-03	5.4432299999999997e-08	2	true	smoothSolver	3.5048200000000002e-02	2.6432900000000001e-07	2	true	GAMG	3.3477899999999998e-02	1.6791800000000000e-03	1	true
0.00013                 	smoothSolver	8.0177600000000005e-03	7.5851600000000001e-08	2	6.3898999999999996e-03	5.5511799999999997e-08	2	6.3486899999999997e-03	5.5490899999999998e-08	2	false	smoothSolver	6.9094700000000000e-03	5.2729799999999999e-08	2	true	smoothSolver	3.2016200000000002e-02	2.4070300000000001e-07	2	true	GAMG	3.1219400000000001e-02	1.5563899999999999e-03	1	true
0.00014                 	smoothSolver	7.6156300000000000e-03	7.2150499999999995e-08	2	6.1672999999999997e-03	5.3701300000000002e-08	2	6.1297699999999997e-03	5.3682700000000002e-08	2	false	smoothSolver	6.7163700000000002e-03	5.1060299999999998e-08	2	true	smoothSolver	2.9441100000000001e-02	2.2044799999999999e-07	2	true	GAMG	2.9352099999999999e-02	1.4563700000000000e-03	1	true
