# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
1e-05                   	smoothSolver	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	0.0000000000000000e+00	0.0000000000000000e+00	0	false	smoothSolver	6.6858400000000002e-03	2.9114400000000000e-07	1	true	smoothSolver	1.0000000000000000e+00	2.2292599999999998e-09	2	true	GAMG	1.0000000000000000e+00	3.0877300000000000e-02	2	true
2e-05                   	smoothSolver	9.9998799999999999e-01	2.5269099999999999e-09	2	3.3308900000000002e-01	7.1449099999999999e-10	2	3.3323799999999998e-01	7.1097800000000004e-10	2	false	smoothSolver	6.6067200000000000e-03	1.5585200000000001e-07	2	true	smoothSolver	4.8302699999999998e-01	4.7976900000000001e-08	3	true	GAMG	9.9655499999999997e-01	7.0660500000000001e-02	1	true
3e-05                   	smoothSolver	3.5065400000000002e-01	7.8892300000000006e-08	3	3.3253600000000000e-01	1.6693100000000000e-07	3	3.3228700000000000e-01	1.6694699999999999e-07	3	false	smoothSolver	6.5508700000000003e-03	8.3523199999999997e-08	2	true	smoothSolver	3.1827200000000000e-01	3.8731500000000003e-06	2	true	GAMG	8.9696200000000004e-01	4.1394899999999998e-02	1	true
4e-05                   	smoothSolver	2.6191500000000001e-01	7.0894500000000000e-08	3	3.0915199999999998e-01	7.6267799999999998e-06	2	3.0892700000000001e-01	7.6047000000000002e-06	2	false	smoothSolver	6.4925099999999999e-03	6.7526599999999998e-08	2	true	smoothSolver	2.3682300000000001e-01	2.3189299999999999e-06	2	true	GAMG	3.6165500000000000e-01	2.4958700000000000e-02	1	true
5e-05                   	smoothSolver	9.8543800000000001e-02	3.7501500000000000e-06	2	1.4826500000000001e-01	3.5161100000000000e-06	2	1.4824899999999999e-01	3.5853199999999999e-06	2	false	smoothSolver	6.4347500000000004e-03	5.9428500000000002e-08	2	true	smoothSolver	1.8832499999999999e-01	1.6365999999999999e-06	2	true	GAMG	2.6028400000000002e-01	1.2772800000000001e-02	1	true
6e-05                   	smoothSolver	5.3119800000000002e-02	1.4712500000000001e-06	2	8.7551699999999996e-02	1.9289599999999998e-06	2	8.9408299999999996e-02	1.9603999999999999e-06	2	false	smoothSolver	6.3778000000000003e-03	5.4341999999999998e-08	2	true	smoothSolver	1.5620500000000001e-01	1.2610800000000000e-06	2	true	GAMG	2.5031900000000001e-01	1.2094499999999999e-02	1	true
7e-05                   	smoothSolver	2.7834299999999999e-02	7.6122400000000004e-07	2	5.1748599999999999e-02	1.1408200000000001e-06	2	5.3412800000000003e-02	1.1411400000000000e-06	2	false	smoothSolver	6.3215900000000002e-03	5.0977699999999999e-08	2	true	smoothSolver	1.3339000000000001e-01	1.0216900000000000e-06	2	true	GAMG	2.4341099999999999e-01	1.3218100000000000e-02	1	true
8e-05                   	smoothSolver	2.3676699999999998e-02	6.9805000000000003e-07	2	3.3864100000000001e-02	6.7244600000000001e-07	2	3.5006000000000002e-02	6.6719299999999996e-07	2	false	smoothSolver	6.2663399999999996e-03	4.8492500000000002e-08	2	true	smoothSolver	1.1637599999999999e-01	8.5678500000000001e-07	2	true	GAMG	2.1504699999999999e-01	1.3761799999999999e-02	1	true
9e-05                   	smoothSolver	2.7839500000000000e-02	8.4734900000000000e-07	2	2.3042500000000000e-02	4.0262599999999999e-07	2	2.3777000000000000e-02	4.0072000000000000e-07	2	false	smoothSolver	6.2120900000000000e-03	4.6634900000000002e-08	2	true	smoothSolver	1.0321000000000000e-01	7.3696099999999998e-07	2	true	GAMG	1.5404399999999999e-01	1.1986300000000000e-02	1	true
0.0001                  	smoothSolver	2.8102200000000001e-02	8.2516699999999999e-07	2	1.7785400000000000e-02	2.8884300000000001e-07	2	1.8019100000000000e-02	2.8932200000000000e-07	2	false	smoothSolver	6.1587300000000003e-03	4.5047400000000001e-08	2	true	smoothSolver	9.2721600000000001e-02	6.4582300000000003e-07	2	true	GAMG	1.0129400000000000e-01	8.8657100000000006e-03	1	true
0.00011                 	smoothSolver	2.4756500000000001e-02	7.1642099999999998e-07	2	1.4786100000000000e-02	2.4344000000000001e-07	2	1.5084100000000000e-02	2.4296600000000001e-07	2	false	smoothSolver	6.1062599999999996e-03	4.3788600000000001e-08	2	true	smoothSolver	8.4168499999999993e-02	5.7449100000000003e-07	2	true	GAMG	7.8754400000000002e-02	6.9994000000000002e-03	1	true
0.00012                 	smoothSolver	2.1572999999999998e-02	6.1975600000000003e-07	2	1.2731700000000000e-02	2.1558200000000000e-07	2	1.3077300000000000e-02	2.1496399999999999e-07	2	false	smoothSolver	6.0546200000000001e-03	4.2724599999999999e-08	2	true	smoothSolver	7.7058699999999994e-02	5.1745500000000005e-07	2	true	GAMG	6.7020499999999997e-02	5.8308199999999996e-03	1	true
0.00013                 	smoothSolver	1.8953899999999999e-02	5.3921100000000005e-07	2	1.1310799999999999e-02	1.9466100000000000e-07	2	1.1715500000000000e-02	1.9510500000000000e-07	2	false	smoothSolver	6.0038100000000000e-03	4.1711700000000000e-08	2	true	smoothSolver	7.1054800000000001e-02	4.7031900000000002e-07	2	true	GAMG	5.9469300000000003e-02	4.9973300000000003e-03	1	true
0.00014                 	smoothSolver	1.6843000000000000e-02	4.7177400000000000e-07	2	1.0223899999999999e-02	1.7600599999999999e-07	2	1.0668199999999999e-02	1.7831099999999999e-07	2	false	smoothSolver	5.9538100000000004e-03	4.0874599999999999e-08	2	true	smoothSolver	6.5916900000000000e-02	4.3065299999999999e-07	2	true	GAMG	5.3850200000000001e-02	4.3494700000000002e-03	1	true
0.00015                 	smoothSolver	1.5103900000000000e-02	4.1621100000000002e-07	2	9.3658600000000002e-03	1.6009700000000001e-07	2	9.7893400000000005e-03	1.6240400000000000e-07	2	false	smoothSolver	5.9045699999999996e-03	4.0188100000000001e-08	2	true	smoothSolver	6.1469999999999997e-02	3.9753900000000002e-07	2	true	GAMG	4.9557999999999998e-02	3.8295600000000001e-03	1	true
0.00016                 	smoothSolver	1.3756900000000001e-02	3.7205800000000001e-07	2	8.7119799999999994e-03	1.4696499999999999e-07	2	9.0734800000000001e-03	1.4864800000000000e-07	2	false	smoothSolver	5.8560900000000004e-03	3.9413999999999998e-08	2	true	smoothSolver	5.7583099999999998e-02	3.6863100000000001e-07	2	true	GAMG	4.5891700000000001e-02	3.4169000000000001e-03	1	true
0.00017                 	smoothSolver	1.2621800000000001e-02	3.3398100000000000e-07	2	8.1427400000000007e-03	1.3539900000000001e-07	2	8.4502599999999994e-03	1.3711099999999999e-07	2	false	smoothSolver	5.8083099999999997e-03	3.8801400000000000e-08	2	true	smoothSolver	5.4156799999999998e-02	3.4385600000000001e-07	2	true	GAMG	4.2984399999999999e-02	3.0798700000000002e-03	1	true
0.00018                 	smoothSolver	1.1611300000000000e-02	3.0048499999999998e-07	2	7.6282900000000002e-03	1.2528900000000000e-07	2	7.8862700000000008e-03	1.2625999999999999e-07	2	false	smoothSolver	5.7612499999999999e-03	3.8186500000000002e-08	2	true	smoothSolver	5.1113600000000002e-02	3.2234600000000002e-07	2	true	GAMG	4.0263800000000002e-02	2.7878700000000000e-03	1	true
0.00019                 	smoothSolver	1.0722100000000000e-02	2.7170300000000001e-07	2	7.1724500000000004e-03	1.1695300000000000e-07	2	7.3894700000000004e-03	1.1684500000000000e-07	2	false	smoothSolver	5.7148800000000003e-03	3.7618900000000002e-08	2	true	smoothSolver	4.8392499999999998e-02	3.0301499999999999e-07	2	true	GAMG	3.7784400000000003e-02	2.5366299999999998e-03	1	true
0.0002                  	smoothSolver	9.9585500000000000e-03	2.4746000000000002e-07	2	6.7685699999999998e-03	1.0964900000000000e-07	2	6.9610100000000001e-03	1.0891300000000000e-07	2	false	smoothSolver	5.6691500000000004e-03	3.7129000000000001e-08	2	true	smoothSolver	4.5945100000000003e-02	2.8635799999999998e-07	2	true	GAMG	3.5478799999999998e-02	2.2837800000000000e-03	1	true
0.00021                 	smoothSolver	9.3315599999999992e-03	2.2771500000000000e-07	2	6.4209100000000002e-03	1.0369700000000001e-07	2	6.5875999999999999e-03	1.0256500000000001e-07	2	false	smoothSolver	5.6240900000000000e-03	3.6614300000000002e-08	2	true	smoothSolver	4.3731800000000001e-02	2.7098499999999999e-07	2	true	GAMG	3.3363799999999999e-02	2.0533900000000000e-03	1	true
0.00022                 	smoothSolver	8.7664200000000005e-03	2.1004900000000000e-07	2	6.1127799999999999e-03	9.8365499999999995e-08	2	6.2561300000000004e-03	9.6662400000000004e-08	2	false	smoothSolver	5.5796400000000003e-03	3.6183900000000003e-08	2	true	smoothSolver	4.1720699999999999e-02	2.5710100000000002e-07	2	true	GAMG	3.1699600000000001e-02	1.8920600000000001e-03	1	true
0.00023                 	smoothSolver	8.2731699999999998e-03	1.9449099999999999e-07	2	5.8368099999999996e-03	9.3456800000000003e-08	2	5.9654100000000000e-03	9.1545500000000004e-08	2	false	smoothSolver	5.5357999999999996e-03	3.5713600000000003e-08	2	true	smoothSolver	3.9884999999999997e-02	2.4484299999999999e-07	2	true	GAMG	3.0129599999999999e-02	1.7584700000000000e-03	1	true
0.00024                 	smoothSolver	7.8432699999999994e-03	1.8117400000000000e-07	2	5.5939900000000001e-03	8.9208100000000006e-08	2	5.7099700000000000e-03	8.7372100000000002e-08	2	false	smoothSolver	5.4925699999999996e-03	3.5308100000000000e-08	2	true	smoothSolver	3.8202800000000002e-02	2.3342200000000001e-07	2	true	GAMG	2.8539599999999998e-02	1.6256899999999999e-03	1	true
0.00025                 	smoothSolver	7.4626400000000004e-03	1.6931000000000000e-07	2	5.3866900000000004e-03	8.5616399999999999e-08	2	5.4918199999999997e-03	8.3804300000000004e-08	2	false	smoothSolver	5.4499300000000004e-03	3.4904099999999998e-08	2	true	smoothSolver	3.6655600000000003e-02	2.2310300000000001e-07	2	true	GAMG	2.7256900000000001e-02	1.5255399999999999e-03	1	true
