# Value averages  
# Time            	momentum_x        	momentum_y        	momentum_z        
1e-05	4.8776058290e-03	2.6925440807e-07	-9.8526229234e-08
2e-05	4.8528435856e-03	2.4511867509e-07	1.2185571275e-07
3e-05	4.8367973132e-03	1.9733522988e-07	3.2081986627e-07
4e-05	4.8247250210e-03	1.5117357032e-07	4.6414850639e-07
5e-05	4.8150823956e-03	1.1114394364e-07	5.6955790043e-07
6e-05	4.8071206462e-03	7.7246668343e-08	6.5255888217e-07
7e-05	4.8004045402e-03	4.8081320897e-08	7.2081459843e-07
8e-05	4.7946532435e-03	2.2425459472e-08	7.7866505352e-07
9e-05	4.7896724086e-03	-4.8998537905e-10	8.2892990143e-07
0.0001	4.7853196855e-03	-2.1378003470e-08	8.7337632564e-07
0.00011	4.7814904313e-03	-4.0764178670e-08	9.1312190841e-07
0.00012	4.7781018403e-03	-5.9042529112e-08	9.4896824790e-07
0.00013	4.7750905554e-03	-7.6506421693e-08	9.8151801014e-07
0.00014	4.7724049432e-03	-9.3351750407e-08	1.0113044073e-06
0.00015	4.7700024245e-03	-1.0966179939e-07	1.0387706049e-06
0.00016	4.7678485743e-03	-1.2552546810e-07	1.0642821250e-06
0.00017	4.7659141398e-03	-1.4100034927e-07	1.0880981141e-06
0.00018	4.7641745248e-03	-1.5611212507e-07	1.1104059351e-06
0.00019	4.7626090588e-03	-1.7089641685e-07	1.1313434420e-06
0.0002	4.7611999854e-03	-1.8535797327e-07	1.1510496552e-06
0.00021	4.7599321108e-03	-1.9952148252e-07	1.1696429766e-06
0.00022	4.7587918051e-03	-2.1339491669e-07	1.1872324549e-06
0.00023	4.7577679037e-03	-2.2698975256e-07	1.2039109884e-06
0.00024	4.7568499492e-03	-2.4031183993e-07	1.2197570355e-06
0.00025	4.7560292234e-03	-2.5338315601e-07	1.2348353270e-06
0.00026	4.7552976308e-03	-2.6621222400e-07	1.2492154875e-06
0.00027	4.7546483077e-03	-2.7880284389e-07	1.2629453129e-06
0.00028	4.7540746890e-03	-2.9116015438e-07	1.2760682544e-06
0.00029	4.7535714914e-03	-3.0329628869e-07	1.2886273858e-06
0.0003	4.7531334922e-03	-3.1519959206e-07	1.3006567679e-06
0.00031	4.7527561584e-03	-3.2687439515e-07	1.3121806378e-06
0.00032	4.7524355391e-03	-3.3831842150e-07	1.3232192867e-06
0.00033	4.7521678692e-03	-3.4954097720e-07	1.3337902865e-06
0.00034	4.7519495456e-03	-3.6054329734e-07	1.3439184173e-06
0.00035	4.7517773853e-03	-3.7133197069e-07	1.3536145362e-06
0.00036	4.7516488411e-03	-3.8190796087e-07	1.3628972076e-06
0.00037	4.7515611123e-03	-3.9227637038e-07	1.3717819890e-06
0.00038	4.7515116946e-03	-4.0243792963e-07	1.3802866125e-06
0.00039	4.7514983493e-03	-4.1239828903e-07	1.3884256623e-06
0.0004	4.7515193119e-03	-4.2215964017e-07	1.3962163056e-06
0.00041	4.7515722644e-03	-4.3172773702e-07	1.4036717579e-06
0.00042	4.7516555850e-03	-4.4110233103e-07	1.4108090442e-06
0.00043	4.7517675821e-03	-4.5028413449e-07	1.4176421438e-06
0.00044	4.7519069414e-03	-4.5927645195e-07	1.4241876660e-06
0.00045	4.7520720270e-03	-4.6808266870e-07	1.4304631520e-06
0.00046	4.7522613438e-03	-4.7670409702e-07	1.4364857344e-06
0.00047	4.7524737415e-03	-4.8514645004e-07	1.4422703800e-06
0.00048	4.7527081641e-03	-4.9341368389e-07	1.4478356125e-06
0.00049	4.7529632384e-03	-5.0151460870e-07	1.4531932188e-06
0.0005	4.7532381019e-03	-5.0945401692e-07	1.4583549501e-06
0.00051	4.7535317631e-03	-5.1723784253e-07	1.4633288183e-06
0.00052	4.7538431181e-03	-5.2486962485e-07	1.4681224702e-06
0.00053	4.7541713376e-03	-5.3235272460e-07	1.4727452469e-06
0.00054	4.7545156534e-03	-5.3969070949e-07	1.4772046010e-06
0.00055	4.7548753533e-03	-5.4688723088e-07	1.4815087449e-06
0.00056	4.7552494234e-03	-5.5394372583e-07	1.4856639318e-06
0.00057	4.7556374435e-03	-5.6086260723e-07	1.4896760676e-06
0.00058	4.7560385061e-03	-5.6764970550e-07	1.4935518257e-06
0.00059	4.7564521099e-03	-5.7431108041e-07	1.4972998334e-06
0.0006	4.7568776155e-03	-5.8084937847e-07	1.5009275513e-06
0.00061	4.7573145930e-03	-5.8726482613e-07	1.5044412975e-06
0.00062	4.7577623176e-03	-5.9356034959e-07	1.5078475991e-06
0.00063	4.7582202742e-03	-5.9973816440e-07	1.5111499107e-06
0.00064	4.7586881297e-03	-6.0580126485e-07	1.5143512142e-06
0.00065	4.7591652627e-03	-6.1175356154e-07	1.5174543548e-06
0.00066	4.7596512505e-03	-6.1759914273e-07	1.5204626284e-06
0.00067	4.7601456810e-03	-6.2334100795e-07	1.5233783401e-06
0.00068	4.7606481891e-03	-6.2898030836e-07	1.5262050240e-06
0.00069	4.7611584124e-03	-6.3452043986e-07	1.5289444252e-06
0.0007	4.7616758714e-03	-6.3996233008e-07	1.5315997293e-06
0.00071	4.7622002507e-03	-6.4530873452e-07	1.5341726604e-06
0.00072	4.7627312759e-03	-6.5056025585e-07	1.5366656936e-06
0.00073	4.7632685116e-03	-6.5571920552e-07	1.5390808134e-06
0.00074	4.7638117188e-03	-6.6078673703e-07	1.5414201505e-06
0.00075	4.7643606498e-03	-6.6576568248e-07	1.5436836202e-06
0.00076	4.7649149442e-03	-6.7065537140e-07	1.5458743500e-06
0.00077	4.7654743894e-03	-6.7545734986e-07	1.5479928301e-06
0.00078	4.7660386573e-03	-6.8017091138e-07	1.5500431378e-06
0.00079	4.7666075643e-03	-6.8479729281e-07	1.5520269510e-06
0.0008	4.7671808049e-03	-6.8933558009e-07	1.5539455990e-06
0.00081	4.7677580947e-03	-6.9378775064e-07	1.5558000343e-06
0.00082	4.7683394071e-03	-6.9815393726e-07	1.5575923790e-06
0.00083	4.7689243535e-03	-7.0243602549e-07	1.5593245030e-06
0.00084	4.7695128029e-03	-7.0663507066e-07	1.5609989813e-06
0.00085	4.7701046308e-03	-7.1075370506e-07	1.5626166042e-06
0.00086	4.7706994848e-03	-7.1479368007e-07	1.5641782970e-06
0.00087	4.7712973744e-03	-7.1875656503e-07	1.5656845276e-06
0.00088	4.7718979675e-03	-7.2264375828e-07	1.5671365250e-06
0.00089	4.7725011725e-03	-7.2645650845e-07	1.5685352724e-06
0.0009	4.7731067902e-03	-7.3019646236e-07	1.5698821873e-06
0.00091	4.7737147404e-03	-7.3386562397e-07	1.5711787054e-06
0.00092	4.7743248390e-03	-7.3746509602e-07	1.5724253199e-06
0.00093	4.7749370145e-03	-7.4099650012e-07	1.5736235847e-06
0.00094	4.7755509868e-03	-7.4446154056e-07	1.5747748237e-06
0.00095	4.7761666990e-03	-7.4786169901e-07	1.5758797126e-06
0.00096	4.7767840962e-03	-7.5119899956e-07	1.5769386361e-06
0.00097	4.7774029190e-03	-7.5447451925e-07	1.5779521072e-06
0.00098	4.7780231242e-03	-7.5769051763e-07	1.5789212392e-06
0.00099	4.7786446696e-03	-7.6084819757e-07	1.5798463138e-06
