# Value averages  
# Time            	momentum_x        	momentum_y        	momentum_z        
1e-05	5.0202519972e-03	-1.7674673922e-10	-9.8317999864e-11
2e-05	5.0202509986e-03	-3.3084993264e-09	-1.0595384438e-09
3e-05	5.0202506657e-03	2.4431219116e-09	6.5490864977e-09
4e-05	5.0202504993e-03	7.1705831119e-09	1.8282076932e-08
5e-05	5.0202503994e-03	9.4054139526e-09	2.7772174795e-08
6e-05	5.0202503329e-03	1.0297101250e-08	3.5953652593e-08
7e-05	5.0202502853e-03	1.0702860734e-08	4.2720782332e-08
8e-05	5.0202502497e-03	1.0875137843e-08	4.7447182837e-08
9e-05	5.0202502219e-03	1.0859381022e-08	5.0504007452e-08
0.0001	5.0202501997e-03	1.0806728677e-08	5.2168108627e-08
0.00011	5.0202501816e-03	1.0753164725e-08	5.2876426521e-08
0.00012	5.0202501664e-03	1.0702710446e-08	5.2894330920e-08
0.00013	5.0202501536e-03	1.0656433955e-08	5.2421562991e-08
0.00014	5.0202501427e-03	1.0610693492e-08	5.1615724529e-08
0.00015	5.0202501331e-03	1.0564526875e-08	5.0582275600e-08
0.00016	5.0202501248e-03	1.0515637211e-08	4.9391277608e-08
0.00017	5.0202501175e-03	1.0461022666e-08	4.8095501431e-08
0.00018	5.0202501110e-03	1.0399873174e-08	4.6736365616e-08
0.00019	5.0202501051e-03	1.0334302351e-08	4.5341625558e-08
0.0002	5.0202500999e-03	1.0265775096e-08	4.3932686828e-08
0.00021	5.0202500951e-03	1.0196713694e-08	4.2522969091e-08
0.00022	5.0202500908e-03	1.0128910964e-08	4.1121789966e-08
0.00023	5.0202500868e-03	1.0063630243e-08	3.9735732998e-08
0.00024	5.0202500832e-03	1.0001377860e-08	3.8368251724e-08
0.00025	5.0202500799e-03	9.9424298970e-09	3.7021499635e-08
0.00026	5.0202500768e-03	9.8869414126e-09	3.5698362491e-08
0.00027	5.0202500740e-03	9.8346926330e-09	3.4401378825e-08
0.00028	5.0202500713e-03	9.7853197100e-09	3.3132567623e-08
0.00029	5.0202500689e-03	9.7385151501e-09	3.1893409115e-08
0.0003	5.0202500666e-03	9.6939005878e-09	3.0685076084e-08
0.00031	5.0202500644e-03	9.6508344317e-09	2.9507914927e-08
0.00032	5.0202500624e-03	9.6088482637e-09	2.8362283170e-08
0.00033	5.0202500605e-03	9.5676645606e-09	2.7248188296e-08
0.00034	5.0202500587e-03	9.5270566656e-09	2.6165484586e-08
0.00035	5.0202500571e-03	9.4870044856e-09	2.5113688231e-08
0.00036	5.0202500555e-03	9.4473663028e-09	2.4092412661e-08
0.00037	5.0202500540e-03	9.4083689038e-09	2.3100957041e-08
0.00038	5.0202500526e-03	9.3702016818e-09	2.2138343581e-08
0.00039	5.0202500512e-03	9.3329580050e-09	2.1203473120e-08
0.0004	5.0202500499e-03	9.2967212937e-09	2.0295295311e-08
0.00041	5.0202500487e-03	9.2615634965e-09	1.9412805708e-08
0.00042	5.0202500476e-03	9.2274877599e-09	1.8554869991e-08
0.00043	5.0202500464e-03	9.1944048134e-09	1.7720391376e-08
0.00044	5.0202500454e-03	9.1622646476e-09	1.6908302635e-08
0.00045	5.0202500444e-03	9.1309410208e-09	1.6117624054e-08
0.00046	5.0202500434e-03	9.1003741936e-09	1.5347464142e-08
0.00047	5.0202500425e-03	9.0705216397e-09	1.4596952907e-08
0.00048	5.0202500416e-03	9.0412184525e-09	1.3865158860e-08
0.00049	5.0202500408e-03	9.0124549856e-09	1.3151369600e-08
0.0005	5.0202500399e-03	8.9842217482e-09	1.2454826470e-08
0.00051	5.0202500392e-03	8.9565042176e-09	1.1774816072e-08
0.00052	5.0202500384e-03	8.9293088630e-09	1.1110740668e-08
0.00053	5.0202500377e-03	8.9026594205e-09	1.0462067947e-08
0.00054	5.0202500370e-03	8.8765833396e-09	9.8282938585e-09
0.00055	5.0202500363e-03	8.8511175302e-09	9.2089493954e-09
0.00056	5.0202500357e-03	8.8262334641e-09	8.6035929328e-09
0.00057	5.0202500350e-03	8.8018740524e-09	8.0117963987e-09
0.00058	5.0202500344e-03	8.7780544552e-09	7.4331967133e-09
0.00059	5.0202500339e-03	8.7547481911e-09	6.8673398202e-09
0.0006	5.0202500333e-03	8.7319776791e-09	6.3138773714e-09
0.00061	5.0202500327e-03	8.7097759416e-09	5.7724629680e-09
0.00062	5.0202500322e-03	8.6881534434e-09	5.2427540299e-09
0.00063	5.0202500317e-03	8.6671119008e-09	4.7244097633e-09
0.00064	5.0202500312e-03	8.6466673869e-09	4.2170877121e-09
0.00065	5.0202500307e-03	8.6268422681e-09	3.7204417298e-09
0.00066	5.0202500303e-03	8.6076058673e-09	3.2341528410e-09
0.00067	5.0202500298e-03	8.5888999912e-09	2.7579371923e-09
0.00068	5.0202500294e-03	8.5707093931e-09	2.2914996482e-09
0.00069	5.0202500289e-03	8.5530167949e-09	1.8345526929e-09
0.0007	5.0202500285e-03	8.5358176599e-09	1.3868091944e-09
0.00071	5.0202500281e-03	8.5190961918e-09	9.4799991172e-10
0.00072	5.0202500277e-03	8.5028431797e-09	5.1786953286e-10
0.00073	5.0202500274e-03	8.4870501231e-09	9.6183558443e-11
0.00074	5.0202500270e-03	8.4716810374e-09	-3.1728989789e-10
0.00075	5.0202500266e-03	8.4566877628e-09	-7.2276075363e-10
0.00076	5.0202500263e-03	8.4420417139e-09	-1.1204383613e-09
0.00077	5.0202500259e-03	8.4277451474e-09	-1.5105507706e-09
0.00078	5.0202500256e-03	8.4137733593e-09	-1.8933485549e-09
0.00079	5.0202500253e-03	8.4001087400e-09	-2.2690435996e-09
0.0008	5.0202500250e-03	8.3867326101e-09	-2.6378069410e-09
0.00081	5.0202500247e-03	8.3736297840e-09	-2.9997721179e-09
0.00082	5.0202500244e-03	8.3607618113e-09	-3.3551425946e-09
0.00083	5.0202500241e-03	8.3481237975e-09	-3.7040850537e-09
0.00084	5.0202500238e-03	8.3357318067e-09	-4.0467338053e-09
0.00085	5.0202500235e-03	8.3235866178e-09	-4.3832260883e-09
0.00086	5.0202500232e-03	8.3116273502e-09	-4.7137852551e-09
0.00087	5.0202500230e-03	8.2998385468e-09	-5.0385345593e-09
0.00088	5.0202500227e-03	8.2882378582e-09	-5.3575729821e-09
0.00089	5.0202500224e-03	8.2768272731e-09	-5.6710096040e-09
0.0009	5.0202500222e-03	8.2655901363e-09	-5.9789927816e-09
0.00091	5.0202500219e-03	8.2545242037e-09	-6.2816429103e-09
0.00092	5.0202500217e-03	8.2435932379e-09	-6.5790954769e-09
0.00093	5.0202500215e-03	8.2327581726e-09	-6.8714259397e-09
0.00094	5.0202500212e-03	8.2220120941e-09	-7.1588047128e-09
0.00095	5.0202500210e-03	8.2113535940e-09	-7.4413500080e-09
0.00096	5.0202500208e-03	8.2007250354e-09	-7.7191794541e-09
0.00097	5.0202500206e-03	8.1901131346e-09	-7.9923678677e-09
0.00098	5.0202500204e-03	8.1795022533e-09	-8.2610080391e-09
0.00099	5.0202500202e-03	8.1689419721e-09	-8.5251741317e-09
0.001	5.0202500200e-03	8.1584544328e-09	-8.7849466199e-09
0.00101	5.0202500198e-03	8.1480781339e-09	-9.0403924280e-09
0.00102	5.0202500196e-03	8.1378205819e-09	-9.2916451871e-09
0.00103	5.0202500194e-03	8.1277049490e-09	-9.5387867376e-09
0.00104	5.0202500192e-03	8.1177635051e-09	-9.7819150217e-09
0.00105	5.0202500190e-03	8.1080017893e-09	-1.0021101701e-08
0.00106	5.0202500188e-03	8.0983774253e-09	-1.0256446022e-08
