# Region        : all region0
# Cells         : 321088
# Volume        : 5.02025200e-03
# Time          	CoV(p)	CoV(U)
0.002           	7.72672346e-04	(3.68388054e-03 1.30312822e+03 -2.06631024e+02)
0.004           	7.74267026e-04	(3.73398658e-03 -9.59992517e+03 -2.39833412e+02)
0.006           	2.78561652e-03	(5.31904126e-08 1.43992038e+02 -9.66615496e+02)
0.008           	5.00611307e-03	(3.48489934e-08 1.45734397e+02 -1.99951133e+03)
0.01            	7.14446592e-03	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
0.012           	1.25627647e-02	(1.76251121e-14 1.83300650e+02 1.13757944e+03)
0.014           	1.57718725e-02	(1.37225846e-14 2.29655978e+02 4.93163077e+02)
0.016           	9.28320162e-02	(4.66046369e-15 5.75613782e+02 4.72224896e+02)
0.018           	-3.13669205e-02	(8.32425794e-15 -2.68671091e+03 -5.95046927e+02)
0.02            	8.55124462e-02	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
0.022           	1.42423021e-01	(6.97591552e-15 5.13701584e+02 -3.77900763e+02)
0.024           	3.51314023e-02	(9.91765885e-15 1.20100260e+03 -1.84114923e+02)
0.026           	-4.71879321e-02	(4.65392868e-15 2.96873124e+02 -7.41195483e+02)
0.028           	-4.06298547e-02	(8.61008289e-15 1.00261161e+03 -2.18444586e+02)
0.03            	-3.40502469e-02	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
0.032           	3.39856368e-02	(6.37878644e-15 -4.60908504e+02 -1.08339394e+02)
0.034           	-3.64803968e-02	(9.43405051e-15 -1.78811704e+03 -1.40594416e+02)
0.036           	1.85026302e-02	(4.63348265e-15 3.97580361e+03 -9.61096894e+01)
0.038           	2.72163308e-01	(8.72412449e-15 -1.76701031e+03 -2.56897988e+02)
0.04            	-1.83684659e-01	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
0.042           	-2.84620824e-02	(6.94344167e-15 5.39535656e+02 1.32133984e+03)
0.044           	5.08241461e-02	(9.40720769e-15 5.58719182e+02 -1.47252000e+02)
0.046           	-1.67606131e-01	(4.59752544e-15 5.04901472e+02 -3.79076733e+02)
0.048           	-1.55093770e-02	(8.73369554e-15 9.83040617e+03 -6.75261878e+02)
0.05            	5.89027410e-02	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
0.052           	3.64626247e-02	(6.78918458e-15 -2.93508317e+03 -2.49482078e+02)
0.054           	2.60128249e-02	(9.58711633e-15 1.47646827e+03 -2.54854800e+02)
0.056           	-1.34284480e-01	(4.50444990e-15 3.26757519e+02 -3.81119559e+02)
0.058           	5.83865480e-02	(8.21924018e-15 4.29001924e+02 -1.91893515e+02)
0.06            	-1.91636675e-02	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
0.062           	-1.62449683e-01	(7.00593682e-15 9.65557918e+02 -9.08116709e+02)
0.064           	3.24716599e-02	(9.64216089e-15 6.63381040e+02 -3.55056460e+02)
0.066           	5.40790342e-02	(4.77512828e-15 -8.02218409e+02 -2.14157530e+02)
0.068           	3.69809216e-01	(8.67881794e-15 -6.31237042e+02 -2.15055260e+02)
0.07            	5.90852107e-01	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
0.072           	2.94073697e-02	(6.97364219e-15 6.57310144e+02 -1.79640156e+02)
0.074           	-7.74824181e-02	(1.00890126e-14 9.03371930e+02 -3.26806122e+02)
0.076           	-2.65753339e-02	(4.19140588e-15 3.90786452e+02 1.85611468e+02)
0.078           	-1.08228713e-02	(8.04919527e-15 9.65489880e+02 -4.90281112e+02)
0.08            	9.23461630e-02	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
0.082           	3.62011773e-02	(6.94917205e-15 3.22530565e+03 -2.34812376e+02)
0.084           	-1.23279475e-01	(9.83199115e-15 9.89353784e+02 -1.49175889e+02)
0.086           	-2.11464892e-01	(4.46290427e-15 4.37387762e+02 -4.85359897e+03)
0.088           	2.90185544e-02	(8.30934279e-15 9.28482108e+02 -1.67584491e+02)
0.09            	-3.74508528e-02	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
0.092           	2.41333158e-02	(6.76365090e-15 -5.52670319e+02 -1.58011951e+02)
0.094           	-5.17247489e-02	(9.89194657e-15 -1.31865911e+04 -1.83670551e+02)
0.096           	-9.09876272e-02	(4.64953719e-15 1.05943882e+03 -1.86718244e+02)
0.098           	2.63769477e-02	(8.81780004e-15 1.92096008e+03 -2.36249226e+02)
0.1             	-5.08169677e-02	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
