# Region        : all region0
# Cells         : 321088
# Volume        : 5.02025200e-03
# Time          	average(p)	average(U)
0.002           	5.04362739e+00	(9.99829013e-01 3.36739641e-06 3.86229950e-07)
0.004           	2.81227980e+00	(9.99459416e-01 4.30442776e-06 1.83081323e-06)
0.006           	7.00453035e-05	(1.00000001e+00 1.42773821e-10 1.31320604e-11)
0.008           	4.76735969e-05	(1.00000000e+00 1.51245219e-10 8.75978742e-11)
0.01            	1.58563204e-05	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.012           	3.32388838e-11	(1.00000000e+00 5.44132307e-17 2.19980423e-17)
0.014           	1.32404992e-11	(1.00000000e+00 3.76516889e-17 4.10628394e-17)
0.016           	2.96153148e-12	(1.00000000e+00 -7.93408217e-19 6.28024265e-19)
0.018           	-1.16878318e-11	(1.00000000e+00 -4.03606162e-18 -2.11361878e-18)
0.02            	4.50196508e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.022           	9.58598843e-13	(1.00000000e+00 -9.17463087e-19 -3.97659470e-18)
0.024           	1.79710219e-11	(1.00000000e+00 -2.21788202e-18 -1.03097811e-17)
0.026           	-7.87588954e-12	(1.00000000e+00 2.34683715e-19 -1.87354582e-18)
0.028           	-8.47128451e-12	(1.00000000e+00 -2.57513542e-18 -8.02105708e-18)
0.03            	-6.89012790e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.032           	4.33293026e-12	(1.00000000e+00 -4.14577265e-18 -9.51902038e-18)
0.034           	-5.51308646e-12	(1.00000000e+00 -3.70934544e-18 -9.60981097e-18)
0.036           	1.97381391e-11	(1.00000000e+00 -1.10220508e-18 -8.84868349e-18)
0.038           	9.72431989e-13	(1.00000000e+00 -4.44122558e-18 -6.83508681e-18)
0.04            	-1.70863862e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.042           	-1.04065428e-11	(1.00000000e+00 -7.03107499e-19 1.84587663e-18)
0.044           	2.16225818e-11	(1.00000000e+00 1.57130425e-19 -1.30811718e-17)
0.046           	-1.92748973e-12	(1.00000000e+00 -2.59582843e-19 -1.52723049e-18)
0.048           	-7.90847908e-12	(1.00000000e+00 -3.10503224e-18 -1.93128068e-18)
0.05            	8.14911799e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.052           	1.16084470e-11	(1.00000000e+00 -2.35882249e-18 -5.85666684e-18)
0.054           	1.54585273e-11	(1.00000000e+00 -1.46519288e-18 -7.30877379e-18)
0.056           	-1.06366276e-12	(1.00000000e+00 8.93625184e-19 -1.31794834e-18)
0.058           	7.78767711e-12	(1.00000000e+00 8.61937498e-19 -7.82900947e-18)
0.06            	-2.50296270e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.062           	-4.06158410e-12	(1.00000000e+00 -1.94155401e-18 -1.48893931e-18)
0.064           	1.79664921e-11	(1.00000000e+00 -6.60162553e-19 -7.71554260e-18)
0.066           	4.88479302e-12	(1.00000000e+00 -2.36772827e-18 -4.00380583e-18)
0.068           	7.50534322e-13	(1.00000000e+00 -5.36405464e-18 -6.36406420e-18)
0.07            	3.27369623e-13	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.072           	1.20202988e-11	(1.00000000e+00 -7.26862112e-19 -6.29843826e-18)
0.074           	-4.89519674e-12	(1.00000000e+00 -1.30323210e-18 -6.16403998e-18)
0.076           	-2.32640979e-11	(1.00000000e+00 -4.66808988e-19 4.40157235e-18)
0.078           	-1.24035846e-11	(1.00000000e+00 -7.29160879e-19 -2.07000373e-18)
0.08            	4.89740642e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.082           	1.16533753e-11	(1.00000000e+00 -2.44941151e-18 -4.85572857e-18)
0.084           	-4.53890549e-12	(1.00000000e+00 -1.22526859e-18 -1.19864217e-17)
0.086           	-1.02179785e-12	(1.00000000e+00 -5.13877315e-19 1.65264433e-19)
0.088           	1.85725068e-11	(1.00000000e+00 -1.32643504e-18 -1.06089139e-17)
0.09            	-6.26364250e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.092           	6.70630099e-12	(1.00000000e+00 -3.41135354e-18 -8.22754603e-18)
0.094           	-7.50863101e-12	(1.00000000e+00 -2.21044031e-18 -1.04460039e-17)
0.096           	-7.82379751e-12	(1.00000000e+00 -8.17043145e-19 -3.87617534e-18)
0.098           	7.37699381e-12	(1.00000000e+00 -1.63073983e-18 -6.68207243e-18)
0.1             	-1.16464227e-11	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
