# Region        : all region0
# Cells         : 321088
# Volume        : 5.02025200e-03
# Time          	max(p)	max(U)
0.002           	5.22629211e+00	(1.14654338e+00 5.67592608e-02 6.56399874e-02)
0.004           	2.91897512e+00	(1.11768205e+00 3.95123214e-02 3.71167380e-02)
0.006           	7.07480528e-05	(1.00000251e+00 8.90774105e-07 9.01686039e-07)
0.008           	4.85824627e-05	(1.00000150e+00 4.88954359e-07 3.89220688e-07)
0.01            	1.62909543e-05	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.012           	3.38543455e-11	(1.00000000e+00 2.58187885e-13 2.60598871e-13)
0.014           	1.36337881e-11	(1.00000000e+00 1.92205529e-13 1.50627003e-13)
0.016           	3.45240530e-12	(1.00000000e+00 5.48839046e-15 5.12272384e-15)
0.018           	-1.47327114e-12	(1.00000000e+00 9.77209526e-15 9.30904842e-15)
0.02            	5.19845932e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.022           	1.35459804e-12	(1.00000000e+00 7.70461784e-15 7.38107268e-15)
0.024           	1.87696656e-11	(1.00000000e+00 1.97691398e-14 1.07152090e-14)
0.026           	-1.27209828e-12	(1.00000000e+00 4.49320467e-15 5.62533256e-15)
0.028           	-3.68513408e-13	(1.00000000e+00 8.79953764e-15 9.16247340e-15)
0.03            	-2.51656878e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.032           	5.14365755e-12	(1.00000000e+00 1.67091321e-14 7.00440690e-15)
0.034           	-1.17810807e-12	(1.00000000e+00 1.03646533e-14 1.03092654e-14)
0.036           	2.02238225e-11	(1.00000000e+00 2.71119548e-14 5.81100971e-15)
0.038           	1.35273364e-12	(1.00000000e+00 1.08923050e-14 9.88746444e-15)
0.04            	3.55036041e-13	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.042           	-5.90994755e-12	(1.00000000e+00 1.90361741e-14 3.11266381e-14)
0.044           	2.32446058e-11	(1.00000000e+00 1.41241588e-14 1.03194632e-14)
0.046           	-1.72868233e-13	(1.00000000e+00 4.59652531e-15 5.92005590e-15)
0.048           	-2.98653426e-12	(1.00000000e+00 1.06256981e-14 1.19652679e-14)
0.05            	8.99767178e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.052           	1.22698872e-11	(1.00000000e+00 1.96891768e-14 7.00126568e-15)
0.054           	1.60528449e-11	(1.00000000e+00 1.75109475e-14 1.10421079e-14)
0.056           	-7.76708575e-13	(1.00000000e+00 4.78182648e-15 5.42251543e-15)
0.058           	8.53739453e-12	(1.00000000e+00 9.67562323e-15 8.23278215e-15)
0.06            	-1.46122499e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.062           	-9.68034545e-13	(1.00000000e+00 7.88879525e-15 8.02795452e-15)
0.064           	1.87076603e-11	(1.00000000e+00 2.47210380e-14 1.05412912e-14)
0.066           	5.35479065e-12	(1.00000000e+00 5.81046384e-15 6.11602688e-15)
0.068           	1.25072795e-12	(1.00000000e+00 9.28168072e-15 9.13001959e-15)
0.07            	1.83463893e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.072           	1.26410705e-11	(1.00000000e+00 1.40966990e-14 9.22216317e-15)
0.074           	-1.55075250e-12	(1.00000000e+00 1.26584758e-14 1.10438263e-14)
0.076           	-4.47140531e-12	(1.00000000e+00 1.40660531e-14 2.26425651e-14)
0.078           	-3.85232438e-12	(1.00000000e+00 1.29516162e-14 1.79518075e-14)
0.08            	5.66026353e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.082           	1.23462112e-11	(1.00000000e+00 8.26754412e-15 8.38904781e-15)
0.084           	1.33996650e-12	(1.00000000e+00 1.13465462e-14 1.03361460e-14)
0.086           	-5.97449969e-13	(1.00000000e+00 6.06467393e-15 1.02747135e-14)
0.088           	1.93979925e-11	(1.00000000e+00 2.50856523e-14 9.48113687e-15)
0.09            	-5.09086401e-13	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.092           	7.03813723e-12	(1.00000000e+00 1.65423905e-14 6.85349366e-15)
0.094           	7.59160688e-13	(1.00000000e+00 1.26304545e-14 1.11076973e-14)
0.096           	1.04325602e-12	(1.00000000e+00 6.92297651e-15 5.77326292e-15)
0.098           	7.73488654e-12	(1.00000000e+00 1.32491579e-14 9.81946990e-15)
0.1             	-2.21745777e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
