# Region        : all region0
# Cells         : 321088
# Volume        : 5.02025200e-03
# Time          	min(p)	min(U)
0.002           	4.96422214e+00	(8.68454295e-01 -5.45923505e-02 -1.01121155e-01)
0.004           	2.74733582e+00	(8.82127164e-01 -3.86727551e-02 -4.94680928e-02)
0.006           	6.67668524e-05	(9.99999491e-01 -9.68215376e-07 -9.97920554e-07)
0.008           	4.70958227e-05	(9.99999387e-01 -4.14348409e-07 -5.64036571e-07)
0.01            	1.55517151e-05	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.012           	3.13007206e-11	(1.00000000e+00 -2.73018563e-13 -2.52886790e-13)
0.014           	1.00215396e-11	(1.00000000e+00 -1.44267846e-13 -1.17871271e-13)
0.016           	-5.22764204e-13	(1.00000000e+00 -5.17410441e-15 -4.90093642e-15)
0.018           	-1.22536040e-11	(1.00000000e+00 -9.69169650e-15 -1.07879942e-14)
0.02            	2.24835737e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.022           	7.03290515e-13	(1.00000000e+00 -7.28031663e-15 -1.15254513e-14)
0.024           	4.22436915e-12	(1.00000000e+00 -1.48343052e-14 -3.04035290e-14)
0.026           	-8.39127087e-12	(1.00000000e+00 -5.20032128e-15 -5.02810648e-15)
0.028           	-9.19642656e-12	(1.00000000e+00 -8.77973363e-15 -9.73895255e-15)
0.03            	-7.38198372e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.032           	3.64582429e-12	(1.00000000e+00 -1.38916478e-14 -2.32785541e-14)
0.034           	-5.83869059e-12	(1.00000000e+00 -9.61970146e-15 -1.14110204e-14)
0.036           	6.48795397e-12	(1.00000000e+00 -2.17384219e-14 -3.80395803e-14)
0.038           	3.73580107e-13	(1.00000000e+00 -8.55151222e-15 -1.16689513e-14)
0.04            	-2.26310577e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.042           	-1.09199643e-11	(1.00000000e+00 -2.45488386e-14 -6.93181840e-15)
0.044           	3.07259905e-12	(1.00000000e+00 -1.05197428e-14 -2.07503784e-14)
0.046           	-2.46926811e-12	(1.00000000e+00 -5.62021065e-15 -4.84496382e-15)
0.048           	-8.20238821e-12	(1.00000000e+00 -1.23790045e-14 -1.08538061e-14)
0.05            	-2.44684178e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.052           	4.51274821e-12	(1.00000000e+00 -1.64690189e-14 -3.13512335e-14)
0.054           	3.26594015e-12	(1.00000000e+00 -1.28614751e-14 -2.56196282e-14)
0.056           	-1.38786130e-12	(1.00000000e+00 -4.89642172e-15 -5.36056093e-15)
0.058           	1.98409743e-12	(1.00000000e+00 -9.16168135e-15 -1.37330771e-14)
0.06            	-2.66997662e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.062           	-5.03098461e-12	(1.00000000e+00 -8.40019458e-15 -7.72105332e-15)
0.064           	4.73720455e-12	(1.00000000e+00 -1.84228296e-14 -3.28916657e-14)
0.066           	1.38567261e-12	(1.00000000e+00 -5.21576427e-15 -8.40896042e-15)
0.068           	7.24961185e-14	(1.00000000e+00 -8.80935278e-15 -1.12161076e-14)
0.07            	8.38221837e-16	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.072           	3.04339500e-12	(1.00000000e+00 -1.16259363e-14 -2.06498052e-14)
0.074           	-5.53617781e-12	(1.00000000e+00 -1.09047168e-14 -1.23975104e-14)
0.076           	-2.41063248e-11	(1.00000000e+00 -1.74906472e-14 -4.01640440e-15)
0.078           	-1.26118672e-11	(1.00000000e+00 -1.65824619e-14 -9.32385883e-15)
0.08            	3.06130338e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.082           	1.98369457e-12	(1.00000000e+00 -7.08116561e-15 -1.35297556e-14)
0.084           	-5.49359664e-12	(1.00000000e+00 -9.89759847e-15 -1.63970841e-14)
0.086           	-2.29415277e-12	(1.00000000e+00 -8.33651071e-15 -4.87875119e-15)
0.088           	5.93421494e-12	(1.00000000e+00 -1.98509665e-14 -3.77240987e-14)
0.09            	-6.65996854e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.092           	3.71909911e-12	(1.00000000e+00 -1.30945636e-14 -2.36113569e-14)
0.094           	-8.17406773e-12	(1.00000000e+00 -1.06173233e-14 -1.21028634e-14)
0.096           	-9.12432063e-12	(1.00000000e+00 -5.41055028e-15 -9.75890496e-15)
0.098           	1.83243183e-12	(1.00000000e+00 -1.06528591e-14 -1.66887604e-14)
0.1             	-1.25594988e-11	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
