# Region        : all region0
# Cells         : 321088
# Volume        : 5.02025200e-03
# Time          	sumMag(p)	sumMag(U)
0.002           	1.61944823e+06	(3.21033098e+05 1.32590439e+02 1.32976199e+02)
0.004           	9.02989296e+05	(3.20914425e+05 1.00345244e+02 9.97554073e+01)
0.006           	2.24907064e+01	(3.21088002e+05 3.94041342e-03 3.95365418e-03)
0.008           	1.53074199e+01	(3.21088001e+05 3.66063351e-03 3.65928566e-03)
0.01            	5.09127421e+00	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.012           	1.06726067e-05	(3.21088000e+05 1.69212834e-09 1.69345788e-09)
0.014           	4.25136541e-06	(3.21088000e+05 1.27392772e-09 1.26963214e-09)
0.016           	9.50913266e-07	(3.21088000e+05 1.79797228e-10 1.79462067e-10)
0.018           	3.75282253e-06	(3.21088000e+05 3.57231718e-10 3.55710799e-10)
0.02            	1.44552696e-06	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.022           	3.07794585e-07	(3.21088000e+05 2.91428299e-10 2.90042742e-10)
0.024           	5.77027948e-06	(3.21088000e+05 4.52808259e-10 4.50821929e-10)
0.026           	2.52885362e-06	(3.21088000e+05 1.86680037e-10 1.85991401e-10)
0.028           	2.72002780e-06	(3.21088000e+05 3.78550110e-10 3.77058116e-10)
0.03            	2.21233739e-06	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.032           	1.39125191e-06	(3.21088000e+05 2.73062406e-10 2.72309526e-10)
0.034           	1.77018591e-06	(3.21088000e+05 4.30713666e-10 4.28728436e-10)
0.036           	6.33767960e-06	(3.21088000e+05 1.83553782e-10 1.83168419e-10)
0.038           	3.12236242e-07	(3.21088000e+05 3.82831720e-10 3.81182973e-10)
0.04            	5.48624068e-07	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.042           	3.34141600e-06	(3.21088000e+05 2.87343542e-10 2.85924649e-10)
0.044           	6.94275153e-06	(3.21088000e+05 4.34356460e-10 4.31945932e-10)
0.046           	6.18893824e-07	(3.21088000e+05 1.81241328e-10 1.81070876e-10)
0.048           	2.53931773e-06	(3.21088000e+05 3.82392713e-10 3.81584416e-10)
0.05            	2.61658889e-06	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.052           	3.72733303e-06	(3.21088000e+05 2.85101126e-10 2.83931754e-10)
0.054           	4.96354762e-06	(3.21088000e+05 4.34630846e-10 4.31746574e-10)
0.056           	3.41529349e-07	(3.21088000e+05 1.80166185e-10 1.79278687e-10)
0.058           	2.50052967e-06	(3.21088000e+05 3.60808849e-10 3.60196915e-10)
0.06            	8.03671287e-07	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.062           	1.30412591e-06	(3.21088000e+05 2.95630957e-10 2.94566091e-10)
0.064           	5.76882502e-06	(3.21088000e+05 4.41816120e-10 4.40103768e-10)
0.066           	1.56844842e-06	(3.21088000e+05 1.90151315e-10 1.89034906e-10)
0.068           	2.40987564e-07	(3.21088000e+05 3.77603763e-10 3.74879212e-10)
0.07            	1.05114458e-07	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.072           	3.85957369e-06	(3.21088000e+05 2.89577958e-10 2.88699905e-10)
0.074           	1.57178893e-06	(3.21088000e+05 4.55764833e-10 4.54585178e-10)
0.076           	7.46982265e-06	(3.21088000e+05 1.71692192e-10 1.71264885e-10)
0.078           	3.98264218e-06	(3.21088000e+05 3.56430553e-10 3.55015524e-10)
0.08            	1.57249843e-06	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.082           	3.74175897e-06	(3.21088000e+05 2.88470804e-10 2.87747917e-10)
0.084           	1.45739077e-06	(3.21088000e+05 4.44326667e-10 4.42209533e-10)
0.086           	3.28087027e-07	(3.21088000e+05 1.80756117e-10 1.80571385e-10)
0.088           	5.96340907e-06	(3.21088000e+05 3.67725260e-10 3.67690047e-10)
0.09            	2.01118044e-06	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.092           	2.15331277e-06	(3.21088000e+05 2.81743592e-10 2.81218590e-10)
0.094           	2.41093283e-06	(3.21088000e+05 4.49782947e-10 4.46870587e-10)
0.096           	2.51212958e-06	(3.21088000e+05 1.81944086e-10 1.81868223e-10)
0.098           	2.36866419e-06	(3.21088000e+05 3.81794027e-10 3.80740469e-10)
0.1             	3.73952658e-06	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
