# Region        : all region0
# Cells         : 321088
# Volume        : 5.02025200e-03
# Time          	sum(p)	sum(U)
0.002           	1.61944823e+06	(3.21033098e+05 1.08123058e+00 1.24013802e-01)
0.004           	9.02989296e+05	(3.20914425e+05 1.38210010e+00 5.87852157e-01)
0.006           	2.24907064e+01	(3.21088002e+05 4.58429607e-05 4.21654701e-06)
0.008           	1.53074199e+01	(3.21088001e+05 4.85630250e-05 2.81266262e-05)
0.01            	5.09127421e+00	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.012           	1.06726067e-05	(3.21088000e+05 1.74714354e-11 7.06330741e-12)
0.014           	4.25136541e-06	(3.21088000e+05 1.20895055e-11 1.31847850e-11)
0.016           	9.50912221e-07	(3.21088000e+05 -2.54753858e-13 2.01651055e-13)
0.018           	-3.75282253e-06	(3.21088000e+05 -1.29593095e-12 -6.78657628e-13)
0.02            	1.44552696e-06	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.022           	3.07794585e-07	(3.21088000e+05 -2.94586388e-13 -1.27683684e-12)
0.024           	5.77027948e-06	(3.21088000e+05 -7.12135302e-13 -3.31034701e-12)
0.026           	-2.52885362e-06	(3.21088000e+05 7.53541248e-14 -6.01573081e-13)
0.028           	-2.72002780e-06	(3.21088000e+05 -8.26845081e-13 -2.57546518e-12)
0.03            	-2.21233739e-06	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.032           	1.39125191e-06	(3.21088000e+05 -1.33115785e-12 -3.05644322e-12)
0.034           	-1.77018591e-06	(3.21088000e+05 -1.19102631e-12 -3.08559498e-12)
0.036           	6.33767960e-06	(3.21088000e+05 -3.53904825e-13 -2.84120609e-12)
0.038           	3.12236242e-07	(3.21088000e+05 -1.42602424e-12 -2.19466435e-12)
0.04            	-5.48623358e-07	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.042           	-3.34141600e-06	(3.21088000e+05 -2.25759381e-13 5.92688837e-13)
0.044           	6.94275153e-06	(3.21088000e+05 5.04526940e-14 -4.20020730e-12)
0.046           	-6.18893824e-07	(3.21088000e+05 -8.33489359e-14 -4.90375383e-13)
0.048           	-2.53931773e-06	(3.21088000e+05 -9.96988591e-13 -6.20111050e-13)
0.05            	2.61658400e-06	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.052           	3.72733303e-06	(3.21088000e+05 -7.57389595e-13 -1.88050544e-12)
0.054           	4.96354762e-06	(3.21088000e+05 -4.70455851e-13 -2.34675956e-12)
0.056           	-3.41529349e-07	(3.21088000e+05 2.86932323e-13 -4.23177396e-13)
0.058           	2.50052967e-06	(3.21088000e+05 2.76757787e-13 -2.51380099e-12)
0.06            	-8.03671287e-07	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.062           	-1.30412591e-06	(3.21088000e+05 -6.23409694e-13 -4.78080546e-13)
0.064           	5.76882502e-06	(3.21088000e+05 -2.11970274e-13 -2.47736814e-12)
0.066           	1.56844842e-06	(3.21088000e+05 -7.60249133e-13 -1.28557401e-12)
0.068           	2.40987564e-07	(3.21088000e+05 -1.72233358e-12 -2.04342465e-12)
0.07            	1.05114458e-07	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.072           	3.85957369e-06	(3.21088000e+05 -2.33386702e-13 -2.02235295e-12)
0.074           	-1.57178893e-06	(3.21088000e+05 -4.18452189e-13 -1.97919927e-12)
0.076           	-7.46982265e-06	(3.21088000e+05 -1.49886764e-13 1.41329206e-12)
0.078           	-3.98264218e-06	(3.21088000e+05 -2.34124808e-13 -6.64653356e-13)
0.08            	1.57249843e-06	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.082           	3.74175897e-06	(3.21088000e+05 -7.86476643e-13 -1.55911617e-12)
0.084           	-1.45738809e-06	(3.21088000e+05 -3.93419040e-13 -3.84869618e-12)
0.086           	-3.28087027e-07	(3.21088000e+05 -1.64999839e-13 5.30644261e-14)
0.088           	5.96340907e-06	(3.21088000e+05 -4.25902373e-13 -3.40639496e-12)
0.09            	-2.01118044e-06	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
0.092           	2.15331277e-06	(3.21088000e+05 -1.09534469e-12 -2.64176630e-12)
0.094           	-2.41093131e-06	(3.21088000e+05 -7.09745859e-13 -3.35408650e-12)
0.096           	-2.51212749e-06	(3.21088000e+05 -2.62342749e-13 -1.24459339e-12)
0.098           	2.36866419e-06	(3.21088000e+05 -5.23610990e-13 -2.14553327e-12)
0.1             	-3.73952658e-06	(3.21088000e+05 0.00000000e+00 0.00000000e+00)
