# Region        : all region0
# Cells         : 321088
# Volume        : 5.02025200e-03
# Time          	volAverage(p)	volAverage(U)
0.002           	5.04370734e+00	(1.00000000e+00 1.06920937e-06 -6.95636671e-06)
0.004           	2.81232476e+00	(1.00000000e+00 -1.16364364e-07 -4.79397581e-06)
0.006           	7.00549959e-05	(1.00000000e+00 1.50350482e-10 -2.26634686e-11)
0.008           	4.76775569e-05	(1.00000000e+00 1.30042225e-10 -9.52890019e-12)
0.01            	1.58574833e-05	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.012           	3.32412358e-11	(1.00000000e+00 4.72439080e-17 7.65193758e-18)
0.014           	1.32419230e-11	(1.00000000e+00 2.82282626e-17 1.31865257e-17)
0.016           	2.96255821e-12	(1.00000000e+00 1.32573267e-18 1.60760558e-18)
0.018           	-1.16916641e-11	(1.00000000e+00 -5.50127145e-19 -2.47396302e-18)
0.02            	4.50412237e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.022           	9.59158551e-13	(1.00000000e+00 2.29532508e-18 -3.10137135e-18)
0.024           	1.79756739e-11	(1.00000000e+00 1.50162550e-18 -9.75059266e-18)
0.026           	-7.87874919e-12	(1.00000000e+00 2.58066878e-18 -1.02701427e-18)
0.028           	-8.47452464e-12	(1.00000000e+00 1.51118603e-18 -6.90551036e-18)
0.03            	-6.89244049e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.032           	4.33244448e-12	(1.00000000e+00 -2.35770336e-18 -9.98814294e-18)
0.034           	-5.51339225e-12	(1.00000000e+00 -9.50097796e-19 -1.20317687e-17)
0.036           	1.97428864e-11	(1.00000000e+00 1.87934039e-19 -7.76221516e-18)
0.038           	9.71636502e-13	(1.00000000e+00 -8.67489867e-19 -5.94773084e-18)
0.04            	-1.70929666e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.042           	-1.04076071e-11	(1.00000000e+00 2.12848177e-18 8.63954731e-19)
0.044           	2.16273830e-11	(1.00000000e+00 3.07244362e-18 -1.15966210e-17)
0.046           	-1.92754502e-12	(1.00000000e+00 1.45820840e-18 -1.93406623e-18)
0.048           	-7.91118816e-12	(1.00000000e+00 1.55965561e-19 -2.26037557e-18)
0.05            	8.15230647e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.052           	1.16103736e-11	(1.00000000e+00 -3.88872584e-19 -4.55055260e-18)
0.054           	1.54626250e-11	(1.00000000e+00 1.16315780e-18 -6.69386634e-18)
0.056           	-1.06378365e-12	(1.00000000e+00 2.24859771e-18 -1.91272136e-18)
0.058           	7.78869327e-12	(1.00000000e+00 3.33715571e-18 -7.44049619e-18)
0.06            	-2.50325906e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.062           	-4.06057172e-12	(1.00000000e+00 1.23467289e-18 -1.30536095e-18)
0.064           	1.79698924e-11	(1.00000000e+00 2.63588394e-18 -4.90958077e-18)
0.066           	4.88590453e-12	(1.00000000e+00 -9.74483989e-19 -3.62032690e-18)
0.068           	7.50965683e-13	(1.00000000e+00 -2.38534699e-18 -6.94351468e-18)
0.07            	3.27489663e-13	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.072           	1.20243455e-11	(1.00000000e+00 1.76444336e-18 -6.43530259e-18)
0.074           	-4.89659009e-12	(1.00000000e+00 2.00607135e-18 -5.53157296e-18)
0.076           	-2.32705050e-11	(1.00000000e+00 1.77965770e-18 3.72769167e-18)
0.078           	-1.24069561e-11	(1.00000000e+00 1.46443311e-18 -2.86912675e-18)
0.08            	4.89736230e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.082           	1.16570050e-11	(1.00000000e+00 3.58919964e-19 -4.91303497e-18)
0.084           	-4.54136097e-12	(1.00000000e+00 1.78223618e-18 -1.17545718e-17)
0.086           	-1.02151517e-12	(1.00000000e+00 1.68600114e-18 -1.51227498e-19)
0.088           	1.85760014e-11	(1.00000000e+00 1.58365871e-18 -8.75300216e-18)
0.09            	-6.26518170e-12	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
0.092           	6.70821718e-12	(1.00000000e+00 -2.03316601e-18 -7.10140881e-18)
0.094           	-7.51180542e-12	(1.00000000e+00 -1.35659090e-19 -9.69417762e-18)
0.096           	-7.82812245e-12	(1.00000000e+00 6.99381669e-19 -3.95261654e-18)
0.098           	7.37873844e-12	(1.00000000e+00 7.97104912e-19 -6.45722463e-18)
0.1             	-1.16483592e-11	(1.00000000e+00 0.00000000e+00 0.00000000e+00)
