# Region        : all region0
# Cells         : 321088
# Volume        : 5.02025200e-03
# Time          	volIntegrate(p)	volIntegrate(U)
0.002           	2.53206819e-02	(5.02025200e-03 5.36770048e-09 -3.49227139e-08)
0.004           	1.41185790e-02	(5.02025200e-03 -5.84178431e-10 -2.40669666e-08)
0.006           	3.51693733e-07	(5.02025200e-03 7.54797309e-13 -1.13776324e-13)
0.008           	2.39353350e-07	(5.02025200e-03 6.52844742e-13 -4.78374802e-14)
0.01            	7.96085620e-08	(5.02025200e-03 0.00000000e+00 0.00000000e+00)
0.012           	1.66879380e-13	(5.02025200e-03 2.37176323e-19 3.84146549e-20)
0.014           	6.64777906e-14	(5.02025200e-03 1.41712992e-19 6.61996819e-20)
0.016           	1.48727888e-14	(5.02025200e-03 6.65551207e-21 8.07058512e-21)
0.018           	-5.86951000e-14	(5.02025200e-03 -2.76177690e-21 -1.24199178e-20)
0.02            	2.26118293e-14	(5.02025200e-03 0.00000000e+00 0.00000000e+00)
0.022           	4.81521763e-15	(5.02025200e-03 1.15231103e-20 -1.55696657e-20)
0.024           	9.02424128e-14	(5.02025200e-03 7.53853841e-21 -4.89504323e-20)
0.026           	-3.95533064e-14	(5.02025200e-03 1.29556076e-20 -5.15587046e-21)
0.028           	-4.25442493e-14	(5.02025200e-03 7.58653468e-21 -3.46674022e-20)
0.03            	-3.46017881e-14	(5.02025200e-03 0.00000000e+00 0.00000000e+00)
0.032           	2.17499631e-14	(5.02025200e-03 -1.18362650e-20 -5.01429945e-20)
0.034           	-2.76786184e-14	(5.02025200e-03 -4.76973036e-21 -6.04025108e-20)
0.036           	9.91142651e-14	(5.02025200e-03 9.43476236e-22 -3.89682762e-20)
0.038           	4.87786009e-15	(5.02025200e-03 -4.35501773e-21 -2.98591076e-20)
0.04            	-8.58109999e-15	(5.02025200e-03 0.00000000e+00 0.00000000e+00)
0.042           	-5.22488103e-14	(5.02025200e-03 1.06855149e-20 4.33727047e-21)
0.044           	1.08574913e-13	(5.02025200e-03 1.54244412e-20 -5.82179597e-20)
0.046           	-9.67676176e-15	(5.02025200e-03 7.32057361e-21 -9.70949985e-21)
0.048           	-3.97161582e-14	(5.02025200e-03 7.82986417e-22 -1.13476550e-20)
0.05            	4.09266328e-14	(5.02025200e-03 0.00000000e+00 0.00000000e+00)
0.052           	5.82870012e-14	(5.02025200e-03 -1.95223837e-21 -2.28449208e-20)
0.054           	7.76262742e-14	(5.02025200e-03 5.83934529e-21 -3.36048959e-20)
0.056           	-5.34046201e-15	(5.02025200e-03 1.12885271e-20 -9.60234324e-21)
0.058           	3.91012030e-14	(5.02025200e-03 1.67533626e-20 -3.73531659e-20)
0.06            	-1.25669913e-14	(5.02025200e-03 0.00000000e+00 0.00000000e+00)
0.062           	-2.03850933e-14	(5.02025200e-03 6.19836905e-21 -6.55324091e-21)
0.064           	9.02133883e-14	(5.02025200e-03 1.32328016e-20 -2.46473327e-20)
0.066           	2.45284720e-14	(5.02025200e-03 -4.89215519e-21 -1.81749534e-20)
0.068           	3.77003697e-15	(5.02025200e-03 -1.19750430e-20 -3.48581934e-20)
0.07            	1.64408064e-15	(5.02025200e-03 0.00000000e+00 0.00000000e+00)
0.072           	6.03652444e-14	(5.02025200e-03 8.85795028e-21 -3.23068407e-20)
0.074           	-2.45821162e-14	(5.02025200e-03 1.00709837e-20 -2.77698902e-20)
0.076           	-1.16823799e-13	(5.02025200e-03 8.93433012e-21 1.87139515e-20)
0.078           	-6.22860460e-14	(5.02025200e-03 7.35182325e-21 -1.44037393e-20)
0.08            	2.45859929e-14	(5.02025200e-03 0.00000000e+00 0.00000000e+00)
0.082           	5.85211028e-14	(5.02025200e-03 1.80186867e-21 -2.46646736e-20)
0.084           	-2.27987765e-14	(5.02025200e-03 8.94727475e-21 -5.90109126e-20)
0.086           	-5.12826357e-15	(5.02025200e-03 8.46415061e-21 -7.59200151e-22)
0.088           	9.32562083e-14	(5.02025200e-03 7.95036580e-21 -4.39422766e-20)
0.09            	-3.14527909e-14	(5.02025200e-03 0.00000000e+00 0.00000000e+00)
0.092           	3.36769407e-14	(5.02025200e-03 -1.02070057e-20 -3.56508618e-20)
0.094           	-3.77111562e-14	(5.02025200e-03 -6.81042819e-22 -4.86672146e-20)
0.096           	-3.92991474e-14	(5.02025200e-03 3.51107222e-21 -1.98431311e-20)
0.098           	3.70431264e-14	(5.02025200e-03 4.00166753e-21 -3.24168948e-20)
0.1             	-5.84776984e-14	(5.02025200e-03 0.00000000e+00 0.00000000e+00)
