# y+ ()           
# Time            	patch             	min               	max               	average           
0.002             	Walls	1.3985416913e+01	1.5172461767e+01	1.4179460588e+01
0.004             	Walls	1.4925569252e+01	1.6538935758e+01	1.5275468918e+01
0.006             	Walls	1.5011081356e+01	1.6047845293e+01	1.5429952945e+01
0.008             	Walls	1.4352278158e+01	1.5173957113e+01	1.4715079074e+01
0.01              	Walls	1.3739287745e+01	1.4389726571e+01	1.4066079523e+01
0.012             	Walls	1.3170741928e+01	1.3731763694e+01	1.3474312660e+01
0.014             	Walls	1.2648078326e+01	1.3142575545e+01	1.2932576915e+01
0.016             	Walls	1.2177334036e+01	1.2611883950e+01	1.2434826774e+01
0.018             	Walls	1.1734795668e+01	1.2126086257e+01	1.1975945684e+01
0.02              	Walls	0.0000000000e+00	1.1682283633e+01	9.9287930926e+00
0.022             	Walls	2.5649515766e-07	4.7315386788e-06	1.9090164395e-06
0.024             	Walls	3.4756006172e-07	6.0564498732e-06	2.3993176237e-06
0.026             	Walls	1.4490774879e-07	3.7921291901e-06	1.5199772070e-06
0.028             	Walls	2.6101246185e-07	5.5407013766e-06	2.1772504480e-06
0.03              	Walls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.032             	Walls	2.5928126887e-07	4.7373549856e-06	1.8700621460e-06
0.034             	Walls	2.3473117421e-07	6.0002960418e-06	2.3638947427e-06
0.036             	Walls	1.6019550065e-07	3.7920988789e-06	1.5593297070e-06
0.038             	Walls	1.3410739452e-07	5.7120924786e-06	2.2159208609e-06
0.04              	Walls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.042             	Walls	2.3613350803e-07	4.8294542081e-06	1.9667359100e-06
0.044             	Walls	2.4604924587e-07	6.0970766659e-06	2.3418523792e-06
0.046             	Walls	1.1769090961e-07	3.7776381963e-06	1.5504142346e-06
0.048             	Walls	2.5489580374e-07	5.8084914516e-06	2.2046369425e-06
0.05              	Walls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.052             	Walls	2.7848258225e-07	4.8976934665e-06	1.9327048644e-06
0.054             	Walls	3.2212263421e-07	6.2324937937e-06	2.3938490061e-06
0.056             	Walls	1.4877834517e-07	3.7921202474e-06	1.5269123915e-06
0.058             	Walls	2.4950083090e-07	5.5134415656e-06	2.1577571955e-06
0.06              	Walls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.062             	Walls	1.8802059241e-07	4.8441575846e-06	1.9301144329e-06
0.064             	Walls	2.8727555846e-07	6.6091884516e-06	2.3719115459e-06
0.066             	Walls	7.9891266228e-08	3.7664030300e-06	1.5391705736e-06
0.068             	Walls	2.5498980510e-07	5.5592314644e-06	2.2298836196e-06
0.07              	Walls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.072             	Walls	2.5428698034e-07	4.7954334225e-06	1.9553006312e-06
0.074             	Walls	2.5209850063e-07	6.1334853319e-06	2.4306005835e-06
0.076             	Walls	1.0775985557e-07	3.7309978862e-06	1.4658203697e-06
0.078             	Walls	2.9980880459e-07	5.4690102639e-06	2.1460586859e-06
0.08              	Walls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.082             	Walls	2.3997015407e-07	4.8290875531e-06	1.9686553363e-06
0.084             	Walls	3.6995446399e-07	6.4151499280e-06	2.4239900183e-06
0.086             	Walls	1.6545833673e-07	3.8063644676e-06	1.5054360875e-06
0.088             	Walls	2.1165709174e-07	5.4133401501e-06	2.1308986733e-06
0.09              	Walls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.092             	Walls	8.5913154903e-08	4.8237325733e-06	1.9379400998e-06
0.094             	Walls	2.5985899496e-07	6.0673597076e-06	2.3762974702e-06
0.096             	Walls	1.1938635255e-07	3.7833956695e-06	1.5775052908e-06
0.098             	Walls	1.3578378083e-07	5.4994173681e-06	2.2312845494e-06
0.1               	Walls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
